subject,-1_fragen_handeln_regeln_gewissen,0_werte_knnen_moralischen_gerechtigkeit,1_schlern_orientierung_risiken_kooperation,2_fragen_erfahren_menschen_fragen moral,3_glck_glck moral_finden_moral analysieren,4_bercksichtigung_verantwortung_instanz_wesen,5_wahrheit_dimension_lge_handeln,6_lernen_fach ethik_fach_jahrgangsstufen,7_natur_ethik natur_natur umweltschutzes_umweltschutzes,8_eigene leben_behandelt_ebenso_gute leben,9_menschen_suche_wissenschaftlichen_erziehung,entropy,subject_total,subject_proportion
Bio,0.2,0.3,0.25,0.125,0.05,0.0,0.0,0.05,0.025,0.0,0.0,2.4257,40,0.0315
"Ethik, Philo",0.2125,0.5697,0.0401,0.0453,0.0244,0.0235,0.0209,0.0183,0.0157,0.0166,0.0131,2.0794,1148,0.9054
Geschichte,0.6087,0.3913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9656,23,0.0181
"Psychologie, Gesundheit",0.375,0.375,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,1.8113,8,0.0063
Sozialkunde,0.2245,0.3673,0.1837,0.1224,0.0408,0.0,0.0,0.0408,0.0204,0.0,0.0,2.3259,49,0.0386
TOTAL,0.2208,0.5489,0.0513,0.0497,0.026,0.0213,0.0197,0.0197,0.0158,0.015,0.0118,2.1307,1268,1.0
