subject_clean,Begründung · Themenbereich · Vermittelt,Freiheit · Rahmenthema · Gott,Gott · Kommunikation · Freiheit,Grundfragen · Ideologiekritik · Ideologie Ideologiekritik,Kein Thema (Ausreißer),Politische · Arbeitsbereiche · Arbeitsbereichen,Reflexionsbereiche · Auseinandersetzung · Geschichte Gesellschaft,Verbindliche · Subjekt · Reflexionsbereiche,entropy,subject_total,subject_proportion
Bio,0.0,0.5385,0.3846,0.0,0.0,0.0769,0.0,0.0,1.2957,13,0.0417
"Ethik, Philo",0.0532,0.0816,0.0993,0.078,0.2411,0.0709,0.3191,0.0567,2.6643,282,0.9038
Geschichte,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.0,2.3219,5,0.016
Psychologie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0032
Sozialkunde,0.0,0.6364,0.3636,0.0,0.0,0.0,0.0,0.0,0.9457,11,0.0353
