subject_clean,Anforderungsniveau · Beitrag Leitperspektive · Leitperspektive,Daten · Gesellschaftlicher · Verhalten,Erfassung · Arten · Planen,Ethik · Schuljahrgänge · Freiheit,Experiment · Hemmung · Gleiches,Fachwissen · Fotosyntheserate · Wechselwirkung,Fragen · Ethik · Regeln,Handlungsoptionen · Bewertungskriterien · Folgen,Kein Thema (Ausreißer),Konsumgüter · Ernährung · Zugrundeliegenden Normen,Lebensverhältnisse · Diversität Inklusion · Governance,Leitperspektive · Personale · Beitrag Leitperspektive,Lernbereich · Wahrheit · Pflichtmodul,Moralische · Moralische Normen · Moral,Moralischen Normen · Moralischen · Religiöse Regeln,Moralvorstellungen · Islam Judentum · Judentum,Politischen · Deutschland · Fußabdruck,Prinzipien · Regeln Untersuchen · Handeln Regeln,Regeln Normen · Regeln · Mobbing,Religionsunterricht · Deutsch · Katholischer Religionsunterricht,Religionsunterricht · Geschichte · Latein,Religionsunterricht · Traditionen · Katholischer,Sachverhalte · Bewertungsrelevante · Bewertungsrelevante Sachverhalte,Sachverhalte · Führen · Handlungsoptionen,Schuljahrgänge · Sprache · Freiheit,Selbstbestimmung · Wahrnehmen Hineinversetzen · Hineinversetzen,Sinn · Weltanschauungen · Stunden,Technik · Möglichkeiten · Welt,Traditionen · Sachverhalten · Entscheidungsprozesse,Vergangenheit · Historische · Fotosynthese,Versus · Daten · Verfahren,entropy,subject_total,subject_proportion
Bio,0.0,0.0683,0.0241,0.0241,0.0361,0.0201,0.002,0.0361,0.2169,0.0201,0.0,0.01,0.0,0.0,0.0,0.0,0.0341,0.0,0.0,0.0622,0.0301,0.0382,0.0341,0.259,0.0,0.002,0.0,0.0241,0.0181,0.01,0.0301,3.5488,498,0.2333
"Ethik, Philo",0.015,0.011,0.003,0.1356,0.001,0.0,0.1595,0.006,0.2692,0.0249,0.005,0.0409,0.009,0.0658,0.0259,0.0289,0.0,0.0209,0.016,0.0,0.0,0.0,0.006,0.0558,0.0199,0.0479,0.015,0.011,0.003,0.004,0.0,3.5575,1003,0.4698
Geschichte,0.0,0.0,0.0,0.0478,0.0144,0.0,0.0335,0.0335,0.2057,0.0096,0.0,0.0048,0.0287,0.067,0.0048,0.0048,0.0,0.0144,0.0,0.1531,0.0,0.0957,0.0096,0.1292,0.0383,0.0,0.0,0.0096,0.0526,0.0431,0.0,3.6137,209,0.0979
Psychologie,0.0,0.3235,0.0,0.0,0.0,0.0,0.0,0.0,0.1176,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,0.1176,0.0,0.0,0.0,0.0882,0.0,0.0,0.1471,0.0,0.0,0.0,0.0,0.0,0.0,0.1765,2.5602,34,0.0159
Sozialkunde,0.0,0.1535,0.0179,0.0307,0.0026,0.0128,0.0,0.0281,0.2097,0.0205,0.0716,0.0128,0.0,0.0,0.0026,0.0,0.0435,0.0,0.0,0.0026,0.0512,0.0281,0.0486,0.2072,0.0,0.0026,0.0,0.0,0.0,0.0051,0.0486,3.4212,391,0.1831
