topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,7,0.1393,46,50.6275
2,18,0.1286,45,21.116
3,5,0.1005,34,25.172
4,8,0.1004,33,25.8943
5,4,0.0886,31,29.5203
6,1,0.0803,24,31.0681
7,17,0.0731,25,45.1599
8,20,0.0564,15,33.6206
9,14,0.0541,15,22.4197
10,19,0.0384,11,22.3843
11,11,0.0313,9,36.9535
12,15,0.0247,6,85.4825
13,13,0.024,8,20.496
14,12,0.0182,4,82.6921
15,9,0.0131,3,39.4729
16,16,0.0098,1,49.4485
17,2,0.0084,1,81.2528
18,3,0.0056,1,27.4572
19,10,0.0027,0,1.0303
20,6,0.0027,0,1.3572
