Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
politisch,entwickeln,wert,verantwortung,motiv
wirtschaftlich,fähigkeit,ethik,freiheit,situation
ökonomisch,entscheidung,norm,konflikt,ethisch
entwicklung,lernen,moralisch,mensch,relevanz
sozial,urteil,mensch,medium,kontext
nachhaltig,denken,leben,frage,folge
historisch,treffen,ethisch,gesellschaftlich,relevant
gesellschaftlich,begründen,kommunikation,medial,begriff
politik,vertreten,natur,umgang,klassenstuf
inhalt,wissen,welt,welt,wertvorstellung
akteur,bereich,pflicht,entscheidung,kulturell
möglichkeit,naturwissenschaftlich,aufgabe,bedeutung,gesellschaftlich
wirtschaft,ziel,bne,bedürfnis,person
prozeß,ethisch,gerechtigkeit,gesellschaft,argument
individuell,voraussetzung,glück,berücksichtigung,leben
bedeutung,gegenwart,jugendliche,inhaltsfelder,menschlich
interesse,fördern,gesellschaft,übernehmen,frage
gesellschaft,frage,menschenrecht,dar,regel
menschlich,verantwortlich,menschlich,sozial,mensch
rechtlich,methode,staat,zentral,sozial
