Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
arbeit,gesellschaft,gegenwart,leben,frage,sozial,gegenwart,frage,demokratie,arbeit
markt,europäisch,historisch,entwicklung,lernbereich,frage,mensch,ethik,frieden,bewerten
globalisierung,europa,politisch,herausforderung,gerechtigkeit,kompetenzbereich,geschichte,verantwortung,leben,historisch
europäisch,politisch,problem,welt,iii,risiko,vergangenheit,natur,lernen,bereich
europa,gegenwart,ökonomisch,mensch,wirklichkeit,chance,leben,schuljahrgang,herausforderung,ausgewählt
strategie,gesellschaftlich,sozial,nachhaltig,ethik,gestaltung,bedeutung,umwelt,bezug,beispiel
frage,fach,phänomen,medium,freiheit,misserfolg,thema,glück,sozialstaat,politisch
anlage,wandel,gesellschaftlich,handeln,religiös,möglich,orientierung,ethisch,iii,zukünftig
deutschland,gestaltung,beitrag,erhalten,bleiben,rolle,fach,endlichkeit,ethik,konflikt
verschieden,historisch,ökologisch,gesellschaftlich,entwicklung,beschreiben,bildung,phase,friedlich,form
entwickeln,politik,handeln,digitalisierung,werteorientierung,inhalt,menschlich,identität,deutschland,erläutern
blick,befähigen,entwicklung,reflektieren,sozial,individuell,geschichtsbewusstsein,schuljahrgäng,sozial,aktuell
stellen,verständnis,vergangenheit,migration,auseinandersetzung,abhängigkeit,lernen,moral,kompetenz,gestaltung
individuell,kultur,erkenntnis,analysieren,beitrag,kompetenz,zentral,lebensgestaltung,themenbereich,vergleichend
sozial,wirtschaft,darstellung,global,leitperspektive,reflektieren,lernende,mensch,sicherheit,akteur
positiv,demokratie,orientieren,kompetenz,alternativ,umgang,denken,technik,wert,gegenwart
beziehen,gemeinsam,geschichte,wirtschaft,lernbereiche,kriterium,historisch,regel,wissenschaft,datum
union,aktuell,fördern,beruflich,friedlich,erfordernis,inhalt,somit,brücke,bewältigung
sehen,international,reflektieren,umwelt,kompetenz,handlungsspielraum,medium,kompetenz,gerechtigkeit,ereignis
persönlich,perspektive,wirtschaftlich,gestaltung,welt,kompetenzerwerb,verschieden,alt,beitrag,wirtschaftlich
