topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,6,0.1133,754,97.2229
2,15,0.0993,599,174.566
3,19,0.0819,486,173.4424
4,10,0.0782,387,157.8037
5,2,0.0627,312,262.5995
6,3,0.0604,317,199.3129
7,18,0.057,250,250.8917
8,8,0.0542,353,195.5394
9,13,0.0436,172,190.0224
10,5,0.0415,122,235.5319
11,1,0.0379,147,150.8907
12,16,0.0369,130,150.8468
13,7,0.0355,90,149.0084
14,17,0.0342,147,350.5109
15,14,0.0329,112,160.5445
16,9,0.0298,104,344.9349
17,4,0.0285,110,174.3343
18,11,0.0276,70,193.4331
19,12,0.0231,109,372.2819
20,20,0.0215,81,174.9587
