term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
klischee,126,0.0002,0.0017,0.0043,0.0171,0.0153,0.0021,0.0009,0.0001,0.0075,0.0323,0.0002,0.0714
form,102,0.0002,0.0017,0.0001,0.0004,0.0002,0.0021,0.0008,0.0026,0.0056,0.0132,0.0003,0.0842
mensch,80,0.0332,0.0017,0.0119,0.0003,0.0054,0.0022,0.0163,0.0002,0.0491,0.0069,0.0002,0.0104
stereotyp,75,0.0076,0.0017,0.0001,0.0003,0.0002,0.0021,0.0008,0.0248,0.0044,0.0001,0.0002,0.0633
sozial,68,0.0183,0.0017,0.0218,0.0004,0.0002,0.0021,0.0009,0.0046,0.0001,0.0344,0.0002,0.0044
toleranz,67,0.0002,0.0017,0.011,0.0006,0.0457,0.0021,0.0008,0.0003,0.0085,0.0001,0.0002,0.0171
ursache,66,0.0086,0.0017,0.0001,0.0004,0.0002,0.0021,0.0108,0.0157,0.0095,0.025,0.0002,0.0001
wahrnehmung,62,0.0447,0.0017,0.012,0.0003,0.0002,0.0021,0.0132,0.0001,0.0053,0.01,0.0002,0.0001
folge,55,0.0002,0.0017,0.0001,0.0004,0.0002,0.0021,0.0009,0.0081,0.0048,0.0364,0.0003,0.0042
urteil,54,0.0186,0.0017,0.0003,0.0003,0.008,0.0022,0.0008,0.0001,0.0176,0.0154,0.0039,0.0001
möglichkeit,52,0.0002,0.0017,0.0161,0.0243,0.0035,0.0022,0.0009,0.0003,0.0193,0.0065,0.0002,0.0036
kritisch,48,0.0043,0.0017,0.0001,0.0003,0.0285,0.0021,0.0009,0.0001,0.0003,0.001,0.0463,0.0001
medium,46,0.0318,0.0017,0.0176,0.0004,0.0002,0.0021,0.0009,0.0021,0.0001,0.0214,0.0039,0.002
unterschiedlich,46,0.0002,0.0017,0.006,0.0005,0.0155,0.0021,0.0209,0.0197,0.0001,0.0173,0.0003,0.0002
prüfen,40,0.0002,0.0017,0.0001,0.0223,0.0097,0.0021,0.0008,0.0001,0.0067,0.0001,0.004,0.01
historisch,39,0.0002,0.0017,0.0048,0.0003,0.0002,0.0021,0.0009,0.0133,0.0047,0.0001,0.0401,0.0001
mobbing,39,0.0002,0.0017,0.0207,0.0004,0.0002,0.0021,0.0008,0.0001,0.0022,0.0211,0.0002,0.0001
konflikt,38,0.0002,0.0017,0.0098,0.0003,0.0031,0.0021,0.0543,0.0012,0.0046,0.014,0.0002,0.0001
geschichte,36,0.0002,0.0017,0.0002,0.0118,0.0002,0.0021,0.0008,0.0154,0.0001,0.0101,0.0163,0.0001
kultur,36,0.0002,0.0017,0.0001,0.0004,0.0002,0.0021,0.0009,0.0001,0.0404,0.0001,0.0021,0.0001
