topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,2,21,0,2,6,31
2,0,1,0,0,0,1
3,2,23,0,2,3,30
4,0,8,0,0,2,10
5,0,31,0,0,0,31
6,0,0,0,0,0,0
7,0,5,0,0,0,5
8,0,6,3,0,14,23
9,0,32,0,2,6,40
10,0,36,0,2,0,38
11,0,3,19,1,2,25
12,0,11,15,11,14,51
