subject_clean,Ableiten · Interessen · Argumentativ,Abweichenden · Ebene · Ursachen,Aggression · Ableiten · Interpretieren,Argumentativ · Mechanik · Fremden,Auswirkungen · Ableiten · Körper,Erklärungen · Ursachen · Kausale,Erleben · Anwenden · Verantwortung,Evolution · Lernbereich · Interessen,Gesundheit · Bewertung · Historische,Kein Thema (Ausreißer),Lernbereich · Lebensräumen · Tiere,Maßnahmen · Fortpflanzung · Bau,Politischen · Interessen · Schutz,Psychologie · Analogen Digitalen · Analogen,Psychologie · Politischen · Bewertung,Psychologie · Theoriebildung · Untersuchungsmethoden Forschungstechniken,Sozialer · Psychologie · Ursachen,Stoffgebundene · Ethik · Handeln,Theorien · Kognitive · Lerntheorien,Tradition · Ethik · Werten,Verfahren · Entstehung · Evolution,Verwandtschaft · Evolution · Anregungen,Überleben Individuums · Nahrungserwerb · Überleben,entropy,subject_total,subject_proportion
Bio,0.0202,0.0247,0.0135,0.0,0.0809,0.0539,0.0764,0.0719,0.0764,0.2045,0.0337,0.0854,0.018,0.0202,0.0449,0.0135,0.0292,0.0,0.0112,0.0,0.027,0.0382,0.0562,3.905,445,0.3853
"Ethik, Philo",0.038,0.0,0.0,0.1033,0.0,0.0163,0.0,0.0217,0.0054,0.3098,0.0,0.0054,0.0,0.0,0.0435,0.0,0.0,0.288,0.0054,0.1196,0.0163,0.0272,0.0,2.6994,184,0.1593
Geschichte,0.0159,0.0,0.0,0.0,0.1111,0.0159,0.0,0.0476,0.1746,0.2857,0.0159,0.127,0.0,0.0,0.0317,0.0,0.0,0.127,0.0,0.0476,0.0,0.0,0.0,2.9253,63,0.0545
Psychologie,0.0,0.0,0.082,0.0,0.0,0.0,0.123,0.0287,0.0,0.2951,0.0123,0.0,0.0246,0.0533,0.0533,0.082,0.082,0.0041,0.0738,0.0,0.0,0.0451,0.041,3.2864,244,0.2113
Sozialkunde,0.0502,0.0365,0.0411,0.0411,0.0,0.0,0.0685,0.0502,0.0,0.3196,0.0046,0.0274,0.032,0.0365,0.0594,0.0091,0.0822,0.0,0.0228,0.0137,0.0502,0.032,0.0228,3.5975,219,0.1896
