topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,4,0.2226,152,17.6899
2,1,0.2201,128,18.9054
3,3,0.2191,151,18.3286
4,2,0.171,100,26.7734
5,5,0.1672,109,36.2701
