term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
verantwortung,561,0.0001,0.0126,0.0172,0.0101,0.0099,0.0013,0.0001,0.0269,0.0068,0.0189,0.0372,0.0566,0.0,0.0204,0.0243
mensch,486,0.0001,0.0111,0.028,0.0012,0.0,0.0002,0.0001,0.0024,0.0007,0.0001,0.0185,0.0182,0.0854,0.0493,0.0192
handeln,328,0.0001,0.0,0.0099,0.0001,0.0151,0.0034,0.0001,0.0259,0.0001,0.0001,0.0219,0.0119,0.0138,0.0266,0.0069
gerechtigkeit,272,0.0001,0.0,0.0045,0.0049,0.0087,0.0155,0.0001,0.0017,0.0001,0.0001,0.0368,0.007,0.0,0.0136,0.0016
sozial,263,0.0195,0.0,0.0,0.0001,0.0016,0.0217,0.0001,0.0265,0.0001,0.0068,0.0,0.0048,0.0,0.0056,0.0148
ethik,231,0.0001,0.0,0.0198,0.0094,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0583,0.0,0.0,0.0081,0.0023
gesellschaft,210,0.0001,0.0,0.0,0.0001,0.0,0.0132,0.0001,0.0092,0.0001,0.0001,0.0,0.031,0.0,0.0086,0.0061
politisch,208,0.0067,0.0067,0.0011,0.0001,0.0026,0.0368,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
leben,199,0.0001,0.006,0.0,0.0076,0.0056,0.0062,0.0001,0.0134,0.0001,0.0001,0.0094,0.023,0.0033,0.0,0.0035
wert,198,0.0209,0.0,0.0055,0.0001,0.0,0.0078,0.0001,0.0046,0.0001,0.0003,0.0146,0.0042,0.0115,0.0145,0.002
revolution,179,0.0001,0.0,0.0,0.0001,0.0889,0.0,0.0272,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
bedeutung,165,0.0001,0.0017,0.0032,0.0001,0.0209,0.0093,0.0001,0.0044,0.0001,0.0059,0.0011,0.0075,0.0,0.0131,0.0
frage,157,0.0019,0.0,0.0051,0.0053,0.0,0.0048,0.0001,0.0166,0.0001,0.0187,0.0,0.0,0.0262,0.0,0.0
ethisch,153,0.0001,0.0,0.0048,0.0001,0.0,0.0022,0.0001,0.0159,0.0001,0.0001,0.0218,0.0029,0.0,0.0112,0.0
verschieden,150,0.0001,0.0,0.0042,0.0045,0.0,0.011,0.0001,0.0,0.0001,0.0066,0.0034,0.0096,0.002,0.0042,0.0067
