Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
fachmethode,transfer,transfer,anforderungsbereich,übertragung
kontext,ziel,unterricht,sachverhalte,sachverhalt
verwend,römer,zusammenhang,transfer,lernende
transfer,region,gestalten,reorganisation,inhalt
darstellen,staat,biologisch,zusammenhang,thema
begründen,arbeiten,ler,operator,persönlich
sach,leben,begriff,politisch,aspekt
erläutern,kulturell,historisch,material,verlangen
privat,bedeutung,übertragung,darstellen,herausarbeit
kritisch,wissen,beispiel,kompetenz,charakterisier
übertragung,vertiefung,analyse,bewerten,transfer
modell,kompetenz,vergleich,afb,gesellschaftlich
entwickeln,lernen,material,prozeß,methode
kommunikation,anwendung,aufgabenstellung,sachverhalt,sachverhalte
verfahrensweise,information,anwendung,analysieren,fragestellung
reflektieren,dimension,gelernt,erschließen,auseinander
unbekannt,deutschland,bekannt,aspekt,wiedergabe
erfahrung,geografisch,basiskonzept,datum,anforderungsbereich
umgang,römisch,problem,reproduktion,leistung
arbeitstechnik,übertragung,gesellschaft,verwendung,information
