term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
anforderungsbereich,55,0.0347,0.0227,0.0277,0.0057,0.0009
sachverhalte,41,0.0003,0.0076,0.0544,0.022,0.0009
operator,39,0.0222,0.0148,0.0163,0.0004,0.0009
zusammenhang,38,0.0198,0.0004,0.0423,0.0008,0.0009
sachverhalt,31,0.0024,0.0004,0.0531,0.002,0.0009
afb,30,0.0285,0.0004,0.0003,0.0006,0.0009
reorganisation,29,0.0192,0.0076,0.0187,0.0034,0.0009
umfasst,29,0.0004,0.0149,0.0003,0.0158,0.009
inhalt,26,0.0021,0.012,0.0003,0.0193,0.0115
methode,26,0.0055,0.0005,0.0054,0.013,0.0158
kontext,23,0.0032,0.0004,0.0003,0.0341,0.0009
lernen,23,0.0073,0.018,0.0003,0.0053,0.0009
anwendung,22,0.0046,0.0144,0.0004,0.0021,0.0187
fachmethode,19,0.0003,0.0005,0.0003,0.0293,0.0009
material,19,0.0076,0.0004,0.0367,0.0004,0.0039
modell,19,0.0004,0.0005,0.0004,0.0004,0.0543
reflexion,19,0.0194,0.0008,0.0003,0.0005,0.0126
ler,18,0.0003,0.0004,0.0118,0.0154,0.0009
verwend,18,0.0003,0.0004,0.0003,0.0282,0.0009
wissen,18,0.0031,0.0172,0.0005,0.0052,0.0009
ziel,17,0.0003,0.0293,0.0005,0.0107,0.0009
iii,16,0.0154,0.0004,0.0003,0.0041,0.0009
reproduktion,16,0.0214,0.0004,0.0003,0.0006,0.0009
umgang,16,0.0004,0.0004,0.0003,0.0258,0.0009
anwenden,15,0.0007,0.0004,0.0004,0.0204,0.0009
arbeitstechnik,15,0.0003,0.0004,0.0003,0.0211,0.0009
information,15,0.0166,0.0004,0.0089,0.0004,0.0009
kommunikation,15,0.0026,0.0004,0.0003,0.0004,0.0315
politisch,15,0.0106,0.0055,0.0299,0.006,0.0008
begründen,14,0.0003,0.0004,0.0003,0.0185,0.0119
kenntnis,14,0.0053,0.0005,0.0003,0.0176,0.001
stoff,14,0.0067,0.0004,0.0003,0.0004,0.0183
verfahrensweise,14,0.0022,0.0004,0.0003,0.0177,0.0009
bedeutung,12,0.0099,0.0004,0.0003,0.0006,0.021
entwickeln,12,0.0003,0.0005,0.0003,0.0176,0.0009
genetik,12,0.0028,0.0004,0.0003,0.0004,0.0237
teilche,12,0.0031,0.0004,0.0003,0.0004,0.0228
zuvor,12,0.0003,0.0148,0.0003,0.0004,0.0008
erfahrung,11,0.0009,0.0004,0.0003,0.0159,0.0009
fachbezogen,11,0.0003,0.0215,0.0003,0.0004,0.0009
leben,11,0.0169,0.0004,0.0003,0.0004,0.0009
nutzen,11,0.0004,0.0253,0.0003,0.0005,0.0009
struktur,11,0.0032,0.0004,0.0194,0.0007,0.0009
unbekannt,11,0.0003,0.0004,0.0003,0.0166,0.0009
arbeiten,10,0.0003,0.0182,0.0003,0.0004,0.013
bezogen,10,0.0047,0.0148,0.0003,0.0004,0.0009
gebrauch,10,0.0003,0.0004,0.0003,0.0154,0.0009
kriterium,10,0.0003,0.0005,0.0196,0.0026,0.0009
positionieren,10,0.0007,0.0004,0.0003,0.015,0.0009
region,10,0.0221,0.0004,0.0003,0.0004,0.0009
setzen,10,0.0003,0.023,0.0003,0.0004,0.0033
verwendung,10,0.0003,0.0004,0.0196,0.0026,0.0009
zusammenhäng,10,0.0003,0.0004,0.0003,0.0154,0.0009
bewertung,9,0.0024,0.0004,0.0005,0.0004,0.0168
erschließen,9,0.0023,0.0004,0.0187,0.0004,0.0009
geeignet,9,0.0004,0.0155,0.0003,0.0004,0.0079
kulturell,9,0.0181,0.0004,0.0003,0.0004,0.0009
prinzip,9,0.0109,0.0008,0.0003,0.0004,0.0185
römer,9,0.0211,0.0004,0.0003,0.0004,0.0009
schriftlich,9,0.015,0.0004,0.0003,0.0004,0.0009
sozial,9,0.0157,0.0004,0.0041,0.0052,0.0009
unterschiedlich,9,0.0062,0.0004,0.0179,0.0005,0.0009
verschieden,9,0.0149,0.0004,0.0003,0.0004,0.0009
verändert,9,0.0041,0.0004,0.0003,0.0004,0.0129
ebene,8,0.0004,0.0004,0.0003,0.0168,0.0009
gerecht,8,0.014,0.0004,0.0003,0.0004,0.0009
persönlich,8,0.0003,0.0204,0.0038,0.0004,0.0009
gesellschaftlich,7,0.0004,0.0205,0.0003,0.0004,0.0009
grundsätzlich,7,0.0003,0.0167,0.0003,0.0004,0.0009
leistung,7,0.0007,0.0004,0.0185,0.0004,0.0009
