topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,20,0.1533,220,64.6394
2,17,0.1219,147,94.6195
3,7,0.0775,107,86.121
4,10,0.0688,89,76.7253
5,8,0.066,103,46.6985
6,5,0.0584,70,45.2485
7,14,0.0564,75,63.7913
8,6,0.0543,69,75.1098
9,2,0.0423,59,46.6394
10,13,0.0417,47,111.1646
11,9,0.0365,51,85.5386
12,15,0.0341,29,44.7038
13,19,0.0331,37,90.7758
14,16,0.0303,38,188.9669
15,12,0.0278,24,82.0374
16,3,0.0235,24,62.5987
17,1,0.0223,29,109.0443
18,4,0.022,19,64.0425
19,11,0.0163,15,136.6332
20,18,0.0138,12,268.9117
