topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,6,0.2095,676,33.7505
2,5,0.192,566,37.0027
3,2,0.1875,495,70.6796
4,4,0.1301,344,70.0363
5,3,0.1002,255,66.3754
6,1,0.091,209,37.1976
7,7,0.0897,199,60.3915
