Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
leben,glücklich,kompetenz,leben,leben
konsum,diskutieren,glücksvorstellung,mensch,glücklich
ding,leben,glücklich,moral,gut
begriff,prüfen,individuell,ethik,ethik
ethik,beschreiben,inhalt,wert,thema
kompetenz,führen,persönlich,glücklich,mensch
etc,freud,mensch,freiheit,denkanstöße
beschreiben,situation,möglich,vorstellung,scheinen
ziel,bzgl,leben,verantwortung,moral
positiv,kompetenz,umgang,wahrnehmen,perspektive
konkretisierung,bedürfnis,verschieden,reflektieren,gelingend
erklären,mensch,aristoteles,glücksvorstellung,vorstellung
definieren,wunsch,erfolg,sinn,frei
inhaltsbezogene,inhaltsbezogen,kriterium,welt,bedeutung
antike,moral,erkennen,frage,scheinbar
text,handlung,reflektieren,gerechtigkeit,brauchen
handlung,diskussion,kompetenzerwerb,religion,selbstverwirklichung
eher,anspruch,vorbild,zusammenleben,gegenstand
gut,methodischdidaktisch,tod,zusammenhang,menschlich
lust,ethik,alter,natur,moralisch
