term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
leben,521,0.0337,0.0451,0.022,0.0226,0.0558
mensch,240,0.0001,0.0042,0.0276,0.0124,0.0258
ethik,199,0.0192,0.0202,0.0148,0.01,0.0039
moral,168,0.012,0.011,0.0001,0.0088,0.0191
glücksvorstellung,144,0.0001,0.001,0.0025,0.0141,0.0206
vorstellung,136,0.0001,0.009,0.0019,0.0144,0.0104
begriff,116,0.0216,0.0011,0.0128,0.0001,0.0025
frage,116,0.0026,0.0131,0.0001,0.0037,0.0067
individuell,105,0.0001,0.0062,0.0001,0.0121,0.0095
ziel,95,0.0057,0.0067,0.0112,0.0092,0.0003
sozial,91,0.0053,0.007,0.002,0.0031,0.0098
verantwortung,90,0.0001,0.0063,0.0021,0.0025,0.0094
konsum,86,0.0121,0.0089,0.0001,0.0001,0.0006
moralisch,84,0.0036,0.0016,0.0001,0.0154,0.0101
gesellschaft,81,0.0083,0.0107,0.0019,0.0033,0.0032
wert,81,0.0001,0.0112,0.0042,0.0039,0.0034
freiheit,81,0.0015,0.0031,0.0013,0.0082,0.0118
sinn,77,0.0007,0.0105,0.0001,0.0046,0.0029
ethisch,76,0.0132,0.002,0.0001,0.0001,0.0086
selbstverwirklichung,74,0.0049,0.0037,0.0016,0.0118,0.0003
wahrnehmen,73,0.0001,0.0047,0.0021,0.0001,0.0089
handeln,73,0.0095,0.0045,0.0001,0.0055,0.0029
zusammenhang,70,0.0001,0.0019,0.0001,0.0001,0.0122
menschlich,70,0.0041,0.0026,0.0001,0.0001,0.0097
welt,70,0.0001,0.004,0.0001,0.002,0.01
handlung,68,0.0164,0.001,0.0001,0.0018,0.0002
bedeutung,67,0.0031,0.0013,0.0001,0.0001,0.0121
ding,66,0.0012,0.0108,0.0001,0.0001,0.0048
thema,65,0.01,0.0039,0.0061,0.0001,0.0036
gelingend,65,0.0017,0.0035,0.0001,0.0001,0.0097
religion,63,0.0001,0.0001,0.0001,0.0031,0.0105
situation,63,0.0154,0.0001,0.0033,0.0001,0.0012
etc,61,0.0007,0.0076,0.0027,0.0083,0.0
positiv,61,0.0001,0.0001,0.0259,0.0001,0.0
bedürfnis,60,0.0029,0.0073,0.0001,0.0008,0.0024
werbung,58,0.0001,0.0048,0.0001,0.0088,0.0032
definieren,53,0.0126,0.0001,0.0055,0.0001,0.0
lust,51,0.0018,0.0033,0.0097,0.0001,0.0021
erfolg,51,0.0001,0.0107,0.0001,0.0001,0.0001
prüfen,51,0.0082,0.0082,0.0001,0.0015,0.0007
regel,50,0.0001,0.0084,0.0032,0.0027,0.0
text,49,0.0084,0.0001,0.0001,0.0001,0.0037
persönlich,48,0.0009,0.003,0.0001,0.011,0.0
glücksbegriff,47,0.0015,0.0001,0.0159,0.0001,0.0
antike,45,0.0089,0.0001,0.0001,0.0087,0.0026
entwickeln,43,0.0081,0.0035,0.0001,0.0015,0.0
möglichkeit,43,0.0001,0.0077,0.0001,0.0049,0.0001
denkanstöße,40,0.0001,0.0001,0.0001,0.0042,0.0081
freizeit,40,0.0001,0.0082,0.0001,0.0001,0.0014
freundschaft,39,0.0001,0.0071,0.0021,0.0001,0.0001
zufall,39,0.0001,0.0001,0.0113,0.0001,0.0019
argument,38,0.0098,0.0008,0.0001,0.0001,0.0
scheinen,38,0.0001,0.0001,0.0001,0.0041,0.0077
philosophie,37,0.0094,0.003,0.0001,0.0001,0.0001
relevanz,31,0.0078,0.0007,0.0001,0.0001,0.0
gemeinschaft,29,0.0001,0.0075,0.0001,0.0001,0.0
wichtig,29,0.0007,0.0029,0.0001,0.0087,0.0002
differentia,28,0.0001,0.0001,0.0105,0.0001,0.0
genus,28,0.0001,0.0001,0.0105,0.0001,0.0
specifica,28,0.0001,0.0001,0.0105,0.0001,0.0
proximum,28,0.0001,0.0001,0.0105,0.0001,0.0
kind,25,0.0001,0.009,0.0001,0.0001,0.0
darstellung,24,0.0001,0.0001,0.0001,0.0089,0.0001
selbstverständlich,24,0.0001,0.0001,0.0001,0.0084,0.0
freud,24,0.0001,0.0001,0.0102,0.0073,0.0
absicht,23,0.0001,0.0001,0.0131,0.0001,0.0
eher,23,0.0001,0.0001,0.0115,0.0001,0.0001
schöpfung,21,0.0001,0.0001,0.0125,0.0001,0.0
tugend,19,0.0102,0.0001,0.0001,0.0001,0.0001
finden,19,0.0001,0.0001,0.0001,0.0104,0.0015
bzgl,19,0.0001,0.0005,0.0155,0.0001,0.0
plan,18,0.0001,0.0001,0.0114,0.0001,0.0
anspruch,14,0.0001,0.0001,0.0001,0.0153,0.0
enthalt,13,0.0001,0.0001,0.0094,0.0001,0.0
