rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,entwicklung,44,41.270816883882446,0.058056951718388275
2,sozial,93,31.836220227621105,0.04478500888051963
3,individuell,12,29.508650171166813,0.04151074312588403
4,entwickeln,22,27.72538321224352,0.039002165599383964
5,natur,36,23.45114040591733,0.032989454270269024
6,unterschiedlich,36,22.584924291877346,0.03177092091164901
7,wichtig,15,22.437217158723282,0.031563136657653874
8,erhalten,8,21.088001517700643,0.029665152725110576
9,perspektive,51,21.01275746852554,0.0295593045626585
10,bieten,11,20.843688370720322,0.029321469763411233
11,wert,10,19.64175819302591,0.027630676908702082
12,raum,6,19.625606042433766,0.027607955172185096
13,kooperation,5,19.06661497249119,0.026821604912872922
14,rahmen,7,17.730038576018167,0.024941401001806744
15,kognitiv,51,16.14702771931114,0.02271453001119604
16,fördern,16,15.585099942213173,0.02192404859387913
17,interesse,11,14.582447232651052,0.020513585599818734
18,lässt,9,13.979575016272559,0.019665506356388182
19,ermöglichen,8,13.293276155231705,0.018700068236955313
20,erwerb,12,12.734484716700752,0.01791399880540719
