topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,2,0.2385,282,63.2822
2,1,0.2205,246,62.9815
3,5,0.2103,226,40.8592
4,4,0.1666,164,68.9837
5,3,0.1641,167,33.1633
