term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
folge,433,0.0087,0.0,0.0243,0.0069,0.0155,0.0001,0.0,0.0256,0.0001,0.02,0.0052,0.0254
politisch,311,0.0,0.0,0.0128,0.0182,0.0204,0.0001,0.0,0.0001,0.0001,0.0035,0.0,0.0253
historisch,295,0.0,0.0,0.016,0.0,0.0139,0.0001,0.0665,0.0001,0.0001,0.0,0.0,0.0078
konflikt,280,0.0,0.0,0.0063,0.0,0.0,0.0001,0.0186,0.0001,0.0001,0.0469,0.0,0.0176
entwicklung,273,0.0225,0.0,0.0083,0.0018,0.0355,0.0001,0.0037,0.0001,0.0001,0.0009,0.0125,0.0
auswirkung,235,0.002,0.0,0.0157,0.0074,0.0109,0.0067,0.0,0.0001,0.0139,0.0,0.0065,0.0117
gesellschaftlich,226,0.0014,0.0,0.0,0.0058,0.0159,0.0001,0.0044,0.0001,0.0001,0.0,0.0,0.0352
sozial,226,0.0043,0.0,0.0004,0.0151,0.0233,0.0067,0.0089,0.0001,0.0001,0.0001,0.0,0.0139
bedeutung,222,0.0127,0.0,0.0038,0.0105,0.0062,0.0001,0.0,0.0316,0.0074,0.0097,0.0064,0.0063
zusammenhang,217,0.0,0.0273,0.0045,0.0,0.007,0.0001,0.012,0.0001,0.0001,0.0017,0.0146,0.0087
international,199,0.0,0.0,0.0335,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0142,0.0,0.0
revolution,193,0.0,0.0,0.0,0.0502,0.0028,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0
deutschland,169,0.0,0.0,0.0068,0.0075,0.0223,0.0001,0.0,0.0001,0.0001,0.0078,0.0,0.0
verschieden,169,0.0027,0.0013,0.0,0.0,0.0029,0.0138,0.026,0.0001,0.0015,0.0102,0.004,0.0111
form,163,0.0155,0.0,0.0013,0.0097,0.0055,0.0001,0.0104,0.0001,0.0041,0.0115,0.0,0.0032
gesellschaft,162,0.0,0.0,0.0019,0.0104,0.0231,0.0001,0.0,0.0001,0.0034,0.0,0.0,0.0054
unterschiedlich,158,0.0039,0.0074,0.0006,0.0,0.0123,0.0001,0.0023,0.0001,0.005,0.011,0.0016,0.0084
mensch,151,0.0172,0.0,0.0027,0.0059,0.0,0.0075,0.0,0.0001,0.0246,0.0,0.0119,0.0039
krieg,147,0.0,0.0,0.0154,0.0088,0.0,0.0001,0.0021,0.0063,0.0001,0.0083,0.0,0.0
wirkung,146,0.0,0.0059,0.0057,0.0,0.0015,0.0001,0.0158,0.0001,0.0001,0.0,0.0179,0.0047
ökonomisch,137,0.0,0.0,0.0067,0.0,0.0101,0.0001,0.0,0.0001,0.0001,0.0067,0.002,0.0114
prozeß,132,0.0,0.0066,0.0098,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0173
akteur,132,0.0,0.0,0.015,0.0,0.0061,0.0001,0.0,0.0001,0.0001,0.012,0.0,0.0
dar,132,0.0,0.0,0.0,0.0081,0.0,0.0001,0.0003,0.0001,0.0001,0.0293,0.0,0.0033
stellen,131,0.0001,0.0101,0.0,0.0072,0.004,0.0001,0.0001,0.0001,0.0001,0.0207,0.0,0.0
wirtschaftlich,127,0.0,0.0,0.0027,0.003,0.0202,0.0001,0.0023,0.0001,0.0001,0.0,0.0,0.0056
wandel,121,0.0,0.0,0.0,0.0059,0.025,0.0001,0.0,0.0001,0.0019,0.0,0.0,0.0001
global,112,0.0,0.0,0.0132,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0047,0.0031,0.0069
weltkrieg,112,0.0,0.0,0.0068,0.0096,0.0062,0.0001,0.0,0.0001,0.0001,0.0049,0.0,0.0
gewalt,107,0.0257,0.0,0.0,0.0027,0.0,0.0053,0.0036,0.0057,0.0001,0.0046,0.0,0.003
verhalten,106,0.0,0.0,0.0,0.0,0.0,0.0948,0.0,0.0001,0.0142,0.0,0.0,0.0
merkmal,106,0.0,0.0,0.0,0.0029,0.0078,0.0001,0.0001,0.0104,0.0153,0.0056,0.0019,0.003
funktion,105,0.0,0.0,0.0,0.0026,0.0036,0.0001,0.0105,0.0001,0.0001,0.0013,0.0132,0.0061
genetisch,103,0.0338,0.0,0.0,0.0,0.0,0.0001,0.0,0.034,0.0001,0.0,0.0,0.0
ziel,103,0.0001,0.0,0.0005,0.0097,0.0035,0.0001,0.0001,0.0001,0.0001,0.0162,0.0,0.0004
struktur,102,0.0023,0.0058,0.0089,0.0,0.0009,0.0001,0.009,0.0084,0.0001,0.0,0.0028,0.0008
deutsch,102,0.0,0.0,0.007,0.0186,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0003
erörtern,101,0.0,0.0087,0.005,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0051,0.0,0.0103
sachverhalt,97,0.0,0.0354,0.0,0.0,0.0019,0.0001,0.0037,0.0001,0.0001,0.0,0.0,0.0
europäisch,96,0.0,0.0,0.002,0.0027,0.0093,0.0001,0.0,0.0001,0.0001,0.0113,0.0,0.0013
ausgewählt,94,0.0138,0.0018,0.0011,0.0,0.0057,0.0001,0.0,0.0001,0.0001,0.0001,0.0025,0.008
darstellung,92,0.0,0.0247,0.0001,0.0005,0.0016,0.0001,0.0018,0.0001,0.0001,0.0,0.0,0.0055
veränderung,92,0.0075,0.0,0.0038,0.0,0.0053,0.0001,0.0,0.0039,0.0037,0.0,0.0088,0.0012
demokratie,88,0.0,0.0,0.0033,0.0209,0.0004,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0
aktuell,86,0.0,0.0,0.011,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0095
interesse,86,0.0,0.0,0.0,0.0004,0.0084,0.0001,0.005,0.0001,0.0001,0.0128,0.0,0.0007
geschichte,82,0.0,0.0015,0.0049,0.0,0.001,0.0001,0.0217,0.0001,0.0001,0.0,0.0,0.0025
begründen,81,0.0,0.0301,0.0,0.0,0.0002,0.0044,0.0,0.0001,0.0001,0.0,0.0022,0.0
herausforderung,80,0.0,0.0,0.0093,0.0024,0.0,0.0001,0.0006,0.0001,0.001,0.0001,0.0,0.0071
ereignis,80,0.0,0.0,0.0097,0.0007,0.006,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0
migration,79,0.0,0.0,0.0092,0.0003,0.0085,0.0012,0.0001,0.0001,0.0001,0.0,0.0001,0.0
welt,79,0.0021,0.0,0.0084,0.0042,0.0,0.0042,0.0,0.0001,0.0001,0.0031,0.0,0.0015
frage,79,0.0001,0.0041,0.0,0.0041,0.0058,0.0001,0.0102,0.0001,0.0001,0.0018,0.0019,0.0
französisch,79,0.0,0.0,0.0,0.0215,0.0,0.0001,0.0,0.0001,0.0012,0.0,0.0,0.0
modell,73,0.0,0.0258,0.0,0.0,0.0033,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0
problem,73,0.0,0.0,0.0022,0.0013,0.0,0.0054,0.0,0.0001,0.0001,0.0,0.0,0.0146
grenze,72,0.0,0.0,0.0096,0.003,0.0023,0.0001,0.0,0.0026,0.0001,0.0,0.0013,0.0
europa,72,0.0,0.0,0.0045,0.0118,0.0001,0.0001,0.0,0.0001,0.0001,0.0025,0.0,0.0
globalisierung,70,0.0,0.0,0.0137,0.0,0.0,0.0001,0.0,0.0001,0.0047,0.0,0.0,0.0
