topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_normen_werte normen_handeln_lernen,0.2214,0.4677,0.063,0.0249,0.2229,1.8612,682,0.2457
0_normen_werte normen_reflektieren_handeln,0.2229,0.4724,0.0575,0.0133,0.2339,1.8039,1723,0.6207
1_experimente_fhren_planen_anleitung,0.7569,0.0972,0.0,0.0486,0.0972,1.17,144,0.0519
2_phwert_enzymaktivitt_experiment_temperatur,0.9412,0.0294,0.0,0.0,0.0294,0.3816,68,0.0245
3_verhalten_evolution_ursachen_adaptiven,0.9756,0.0,0.0244,0.0,0.0,0.1654,41,0.0148
4_religionsunterricht_englisch_katholischer_katholischer religionsunterricht,0.0,0.1154,0.5,0.1154,0.2692,1.7286,26,0.0094
5_familie_dabei erkennen_grundlegende werte_auswerten,0.3043,0.3043,0.0435,0.0,0.3478,1.7713,23,0.0083
6_kritisch_rechte_gattungen_befragung,0.2778,0.2778,0.0,0.0556,0.3889,1.7882,18,0.0065
7_daten_trends_gesetzmigkeiten_erheben,0.2222,0.2222,0.0,0.0,0.5556,1.4355,18,0.0065
8_zielen_kultur_verbinden_lernprozesse,0.2778,0.1111,0.1667,0.0,0.4444,1.8163,18,0.0065
9_beteiligt_kerncurriculum_personen_genannten,0.0,0.9333,0.0,0.0667,0.0,0.3534,15,0.0054
TOTAL,0.277,0.4265,0.0576,0.0187,0.2201,1.8628,2776,1.0
