subject,-1_normen_werte normen_handeln_lernen,0_normen_werte normen_reflektieren_handeln,1_experimente_fhren_planen_anleitung,2_phwert_enzymaktivitt_experiment_temperatur,3_verhalten_evolution_ursachen_adaptiven,4_religionsunterricht_englisch_katholischer_katholischer religionsunterricht,5_familie_dabei erkennen_grundlegende werte_auswerten,6_kritisch_rechte_gattungen_befragung,7_daten_trends_gesetzmigkeiten_erheben,8_zielen_kultur_verbinden_lernprozesse,9_beteiligt_kerncurriculum_personen_genannten,entropy,subject_total,subject_proportion
Bio,0.1964,0.4993,0.1417,0.0832,0.052,0.0,0.0091,0.0065,0.0052,0.0065,0.0,2.077,769,0.277
"Ethik, Philo",0.2694,0.6875,0.0118,0.0017,0.0,0.0025,0.0059,0.0042,0.0034,0.0017,0.0118,1.1906,1184,0.4265
Geschichte,0.2688,0.6188,0.0,0.0,0.0062,0.0812,0.0062,0.0,0.0,0.0188,0.0,1.4313,160,0.0576
"Psychologie, Gesundheit",0.3269,0.4423,0.1346,0.0,0.0,0.0577,0.0,0.0192,0.0,0.0,0.0192,1.894,52,0.0187
Sozialkunde,0.2488,0.6596,0.0229,0.0033,0.0,0.0115,0.0131,0.0115,0.0164,0.0131,0.0,1.4558,611,0.2201
TOTAL,0.2457,0.6207,0.0519,0.0245,0.0148,0.0094,0.0083,0.0065,0.0065,0.0065,0.0054,1.6695,2776,1.0
