topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,1,0.2454,410,60.7856
2,4,0.1485,173,72.654
3,7,0.1457,216,119.7061
4,9,0.0823,104,55.575
5,10,0.0823,92,54.312
6,6,0.0712,87,76.8806
7,2,0.0645,88,83.8409
8,8,0.0624,79,87.554
9,5,0.0618,57,74.7525
10,3,0.0361,37,105.2274
