term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
mindmap,38,0.0,0.0002,0.0002,0.0003,0.0001,0.0003,0.0022,0.0003,0.0334,0.0069,0.0004,0.0003,0.001,0.0209,0.0001,0.0001,0.0001,0.0003,0.0179,0.0001
brainstorming,37,0.0,0.0003,0.0002,0.0003,0.0001,0.0002,0.0022,0.0003,0.0333,0.0002,0.0004,0.0003,0.001,0.0208,0.0001,0.0002,0.0001,0.0003,0.0197,0.0001
entwickeln,37,0.0001,0.0002,0.0439,0.0003,0.0001,0.0256,0.0021,0.0003,0.0001,0.0002,0.028,0.0003,0.0009,0.0002,0.0001,0.0004,0.0089,0.0003,0.0083,0.0236
wert,37,0.0001,0.0033,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.028,0.0003,0.0009,0.0063,0.0001,0.0409,0.0001,0.0003,0.0041,0.0001
fähigkeit,36,0.028,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0265,0.0003,0.0004,0.0009,0.0082,0.0001,0.0001,0.0017,0.0076,0.0001,0.0001
freundschaft,33,0.0,0.0002,0.0049,0.0003,0.0024,0.0002,0.0021,0.0292,0.0001,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0001,0.0456,0.0003,0.0001,0.0001
interesse,33,0.0263,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0002,0.0003,0.0003,0.001,0.0073,0.0001,0.008,0.002,0.0003,0.0001,0.0002
zusammenhang,32,0.0001,0.003,0.0003,0.0003,0.0029,0.0002,0.0022,0.0003,0.0313,0.0002,0.0003,0.0003,0.0009,0.0002,0.0001,0.0047,0.0193,0.0003,0.0002,0.0002
handlung,31,0.0,0.0002,0.0042,0.0003,0.0001,0.0002,0.0021,0.0003,0.0001,0.0449,0.0109,0.0003,0.0009,0.0033,0.0001,0.0084,0.0001,0.0003,0.0104,0.0123
klassenstuf,31,0.0,0.0002,0.0002,0.0003,0.0001,0.0002,0.0021,0.0943,0.0001,0.0002,0.0003,0.0003,0.001,0.0002,0.0001,0.0001,0.0002,0.0003,0.0297,0.0001
