subject,-1_mindestens_gott_freiheit anthropologie_kommunikation,0_nietzsche_kants_jahrhunderts_hobbes,1_reflexionsbereich_reflexionsbereiche anthropologie_subjekt_anthropologie ethik,2_kulturwesen_aufklrung_position_konstruktivismus,3_philosophischen anthropologie_hauptphase_drei_kurshalbjahre,4_philosophie themen_religion_kunst_anthropologie ethik,entropy,subject_total,subject_proportion
Bio,0.9231,0.0,0.0,0.0,0.0,0.0769,0.3912,13,0.0417
"Ethik, Philo",0.305,0.0532,0.1277,0.1277,0.1028,0.2837,2.3589,282,0.9038
Geschichte,0.6,0.0,0.0,0.2,0.2,0.0,1.371,5,0.016
Psychologie,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0032
Sozialkunde,0.3636,0.0,0.0,0.3636,0.0,0.2727,1.5726,11,0.0353
TOTAL,0.3365,0.0481,0.1154,0.1314,0.0962,0.2724,2.3194,312,1.0
