,text_excerpt,search_term,match_term,state,school type,grade,year,subject,doc_id,bertopic_topic
143,zum Teil auch umfassendere Begründungen bzw. Herleitungen normativer Modelle zu berücksichtigen. Hierbei sollten in geeignetem Umfang auch Originaltexte einbezogen werden. Neben der philosophischen Ethik sind zudem auch Gesichtspunkte aus der Anthropologie und der Erkenntnistheorie zu thematisieren. Besonderes Gewicht haben auch ethische Akzentuierungen der Religionen bzw. Weltanschauungen. Geeignete Forschungsergebnisse der Naturwissenschaften sind bei der Erörterung bestimmter ethischer Fragen in angemessener Weise einzubeziehen.,Anthropologie,Anthropologie,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo",143,-1
573,"Aufgabenstellung: Erörtern Sie das im Text aufgezeigte Menschenbild und seine ethischen Konsequenzen vor dem Hintergrund philosophischer Argumentation und aktueller Relevanz Erwartungshorizont a Unterrichtliche Voraussetzungen: Die Schüler besitzen Kenntnisse über verschiedene anthropologische Positionen, die Bedeutung von Kultur und Technik für die menschliche Existenz, Ambivalenz von Wissenschaft und Technik, Verantwortungsethik von Hans Jonas, den Kategorischen Imperativ von Kant. Die Schüler haben gelernt, wesentliche",Anthropologie,anthropologische,,,,2006,"Ethik, Philo",573,-1
574,"Moralphilosophie. Er stellt damit Orientierungswissen zu grundlegenden Positionen der philosophischen Ethik aus Vergangenheit und Gegenwart bereit. Hierher gehören u.a. die Fragen nach Freiheit und Selbstbestimmung, nach Recht und Gerechtigkeit, nach anthropologischen Voraussetzungen der Ethik, nach der persönlichen Lebensgestaltung und einem sinnvollen, erfüllten Leben. Dieses exemplarische Wissen ermöglicht die verstehende Erschließung traditioneller Wertvorstellungen und Moralphilosophien wie die Rückbindung an den aktuellen Stand",Anthropologie,anthropologischen,,,,2006,"Ethik, Philo",574,-1
575,"Vielen rechtfertigt nach Kant nicht das Verfügen über den Einzelnen. AFB II Aufgabe Utilitaristische Überlegungen stellen als konsequenzialistische teleologische Ethik die Folgen von Handlungen ins Zentrum. Dem entsprechen auch die anthropologischen Grundannahmen. Der Mensch wird als empfindendes Wesen begriffen Lust/Unlust-Prinzip; er sucht z.B. Gesundheit, will Krankheit vermeiden. Dabei entscheiden allein die guten oder schlechten Folgen Konsequenzprinzip, nicht unhintergehbare Prinzipien z.B. Menschenwürde",Anthropologie,anthropologischen,,,,2006,"Ethik, Philo",575,-1
576,"und Erläutern der wesentlichen Aussagen des Textes Mensch als Kulturwesen, Götter als Projektion, Allmachtsphantasien und Prothesengott, Ambivalenz des Fortschritts. AFB I/II Darüber hinaus soll der Text in den philosophisch - anthropologischen Kontext eingeordnet werden. Dabei können Bezüge zu anthropologischen Positionen, z.B. Platon, Gehlen, Feuerbach, Marx, Engels u.a. erkannt und aufgezeigt werden. AFB II Vom Begriff der Prothese ausgehend lässt sich das",Anthropologie,anthropologischen,,,,2006,"Ethik, Philo",576,-1
577,"als Kulturwesen, Götter als Projektion, Allmachtsphantasien und Prothesengott, Ambivalenz des Fortschritts. AFB I/II Darüber hinaus soll der Text in den philosophisch - anthropologischen Kontext eingeordnet werden. Dabei können Bezüge zu anthropologischen Positionen, z.B. Platon, Gehlen, Feuerbach, Marx, Engels u.a. erkannt und aufgezeigt werden. AFB II Vom Begriff der Prothese ausgehend lässt sich das Problem der stets nur unvollkommenen Beherrschung der technischen",Anthropologie,anthropologischen,,,,2006,"Ethik, Philo",577,2
869,"Perspektive anderer ein, bringen sie mit den eigenen Fragen in Zusammenhang und entwickeln vernünftige Formen der Konflikt- und Problemverarbeitung, erkennen, analysieren und entfalten Grundprobleme, zentrale Begriffe, Methoden und Konzepte aus Anthropologie, Ethik, Erkenntnistheorie und Metaphysik, ordnen sie in Teilen geistesgeschichtlich ein, hinterfragen sie hinsichtlich ihrer Tragweite und Folgen und erörtern sie kontrastierend, identifizieren anthropologische, ethische, erkenntnistheoretische und metaphysische Fragestellungen in beliebigen",Anthropologie,Anthropologie,Berlin,Gym,Sek2,2022,"Ethik, Philo",869,1
870,"lernen, wie Handlungsnormen historisch und begrifflich gefasst wurden und werden. Ihre Urteilskompetenz wird durch die Analyse ethischer Positionen differenziert und gestärkt. Die Verbindung zu anderen Reflexionsbereichen ist durch Fragen der Anthropologie ., der Methodologie . und auch der Letztbegründung . gegeben. Geschichtlicher, gesellschaftlicher und anthropologischer Reflexionsbereich Inhalte Fragen der Bestimmung des Menschen Auseinandersetzung mit philosophischen Entwürfen zu Menschen- und Gesellschaftsbildern Reflexion",Anthropologie,Anthropologie,Berlin,Gym,Sek2,2022,"Ethik, Philo",870,1
871,"gegenwärtiger Modelle von Geschichte, Staat und Gesellschaft Mögliche Schwerpunkte der Mensch als Natur-, Vernunft-, Geist- und Kulturwesen das Leib-Seele-Problem die menschliche Willens- und Handlungsfreiheit existentialistische Deutungen des Menschen Kritik der Anthropologie Legitimation von Herrschaft das Problem des Fortschritts in der Geschichte Kompetenzerwerb im Themenfeld In diesem Reflexionsbereich lernen die Schülerinnen und Schüler, dass allen alltäglichen, wissenschaftlichen und künstlerischen Äußerungen ein bestimmtes",Anthropologie,Anthropologie,Berlin,Gym,Sek2,2022,"Ethik, Philo",871,2
872,"Argumentieren . geht es hier vor allem um das theoretische Argumentieren, die Bedeutung von Sinnlichkeit und Vernunft für den erkenntnistheoretischen und sprachlichen Zugang zur Welt. Dabei wird auf Ergebnisse der Anthropologie zurückgegriffen ., exemplarisch werden wissenschaftliche Methoden untersucht und besondere erkenntnistheoretische Probleme bei der Beantwortung metaphysischer Fragen angesprochen .. Die Frage der Wertfreiheit von Wissenschaft und Erkenntnis weist auf ethische Implikationen",Anthropologie,Anthropologie,Berlin,Gym,Sek2,2022,"Ethik, Philo",872,2
