rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,entwickeln,60,98.64828662174254,0.08474683806150439
2,urteilsfähigkeit,26,78.55571029262114,0.06748569374045171
3,politisch,114,75.67226698135171,0.0650085832732759
4,ökonomisch,48,61.64989257277018,0.05296223220183292
5,gesellschaftlich,55,55.308060029343125,0.0475140863294997
6,maßstab,16,42.47768450742996,0.03649175848316678
7,begründeter,17,42.3851129462965,0.036412232042625954
8,wertbezogen,14,41.78577216092371,0.035897349947649475
9,demokratisch,31,38.36059431234155,0.03295484580078407
10,fähigkeit,68,36.818737473238215,0.031630266364766645
11,toleranz,24,30.664953881665596,0.02634366971559987
12,analyse,17,25.465340251923518,0.021876782054876715
13,schemata,6,25.46020712635007,0.02187237228582122
14,medium,19,24.663742573226394,0.021188144968583414
15,sachverhalt,10,22.229077920857577,0.019096571581003738
16,grundordnung,15,21.036813332519163,0.018072320096719854
17,chance,11,20.684460031396256,0.017769620179941797
18,freiheitlich,8,19.887527139792436,0.01708499052215968
19,hintergrund,11,19.63565861072753,0.016868615132617455
20,digital,11,19.07638954405127,0.016388157877357076
