topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,0,110,54,0,24,188
2,3,126,93,0,146,368
3,10,192,10,1,8,221
4,10,168,29,3,15,225
5,2,177,21,1,33,234
