,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,lernen,0.0247,moralische,0.033,religise,0.0673,entscheidungen,0.0651,politische,0.0575,gelten,0.4045,bestimmungen,0.1661,kerncurriculum,0.3273,leben,0.1939,digitalen,0.2365,konfliktsituationen,0.1284
1,knnen,0.0242,regeln,0.0312,religion,0.0549,handlungsoptionen,0.0631,recht,0.0456,motivation,0.3309,gruppe,0.154,unterrichtsfach werte,0.2027,guten,0.124,privaten,0.1842,btv konfliktbewltigung,0.1206
2,ethik,0.0239,werten,0.0294,religionen,0.0523,bewertungskriterien,0.043,deutschland,0.0415,lernen,0.3254,wenden,0.1389,unterrichtsfach,0.2017,immer,0.1033,erstellen,0.1824,konfliktbewltigung interessenausgleich,0.1183
3,fach,0.0231,bedeutung,0.0284,unterricht,0.0496,kriterien,0.0421,politik,0.0412,ethikunterricht,0.2989,leistungen,0.1199,schuljahrgnge,0.1608,prgen,0.1001,setzen,0.1448,konfliktbewltigung,0.1183
4,deren,0.0211,werten normen,0.0274,handeln,0.047,persnlich,0.0388,politischen,0.0404,warum,0.2489,materialien,0.1169,kompetenzbereichen,0.1481,dimensionen,0.0994,beachtung,0.1377,btv,0.1175
5,bewerten,0.0209,ethik,0.027,fach,0.0463,begrndet,0.0349,europischer,0.0376,leben,0.2467,worden,0.1155,sichern,0.1451,neuer,0.0975,umgang,0.133,interessenausgleich,0.1151
6,unterricht,0.0209,erlutern,0.0264,religisen,0.0432,werten,0.0332,institutionen,0.0318,beschftigung,0.2289,technischen,0.1155,fachbergreifenden,0.1424,eigene leben,0.0975,daten,0.1317,lge,0.1016
7,schuljahrgnge,0.0207,handeln,0.0251,gesellschaft,0.0383,gesellschaftlich,0.0319,grundgesetzes,0.0308,bezglich,0.224,bercksichtigt,0.113,aufgabe unterrichts,0.1321,perspektiven,0.0974,komplexe,0.1299,wahrhaftigkeit,0.0913
8,handeln,0.0205,regeln normen,0.0235,unterricht fach,0.0382,bewertung,0.0313,beziehungen,0.0301,verstehen,0.2185,verfahren,0.1097,unterrichts fach,0.1321,seit,0.0951,aktuellen,0.1268,normen ethische,0.0798
9,sachverhalte,0.0203,eigene,0.0218,fach werte,0.0379,werten normen,0.0291,aufgabe,0.0299,sollen,0.1645,bundesrepublik deutschland,0.1097,fach,0.1308,gymnasium,0.0951,schutz,0.1216,ethische prinzipien,0.0787
10,mithilfe,0.0203,ber,0.0216,weltanschauungen,0.0326,grundlage,0.0286,hinblick,0.0287,stellenwert,0.1274,bundesrepublik,0.1087,schulische,0.1305,menschliche,0.0941,manahmen,0.1216,ansatzweise,0.0787
11,freiheit,0.0196,gesellschaft,0.02,wertvorstellungen normen,0.0288,entwickeln,0.0282,handelns,0.0282,deshalb,0.1264,geltenden,0.1077,ausbildung,0.1305,form,0.093,funktionen,0.1136,analysieren,0.0771
12,beurteilen,0.019,moral,0.0195,ethik,0.0279,eigene,0.028,jeweiligen,0.0279,besonders,0.1245,gesetzen,0.1077,gymnasium,0.129,behandelt,0.093,persnlichen,0.1136,analysekompetenz,0.0756
13,verwendung,0.0187,sozialen,0.0194,ethische,0.0277,bercksichtigen,0.0279,grenzen,0.0276,jahrgangsstufen,0.1236,wirtschaftlichen,0.1068,gilt,0.1262,stehen,0.0903,bereich,0.1089,entscheidungssituationen btv,0.0723
14,bildung,0.0184,mgliche,0.0192,kulturelle,0.0274,folgen,0.0276,demokratie,0.0276,bedeutet,0.1227,fllen,0.1012,weitere,0.1236,mittelpunkt,0.0895,inhalte kompetenzen,0.1076,bne werte,0.0642
15,formulieren,0.018,wertvorstellungen,0.0185,fragen,0.0259,reflektieren,0.0261,fallbeispiel,0.0276,sowohl,0.1077,rahmen,0.0986,kompetenzentwicklung,0.1213,mehr,0.0879,kompetenzerwartungen,0.1039,prinzipien,0.0642
16,unterscheiden,0.0176,zusammenleben,0.0184,orientierung,0.0247,treffen,0.0255,internationalen,0.0268,moralisches,0.09,deutschland,0.0957,zielsetzungen,0.1203,herausforderungen,0.0788,sowohl,0.0983,auseinandersetzen,0.063
17,sollen,0.0172,fragen,0.0181,bezug,0.0246,aspekte,0.0251,analysieren,0.0264,ethik,0.0668,einzelnen,0.0946,frdern,0.1203,handeln,0.0761,inhalte,0.0947,bezug,0.062
18,sowohl,0.0171,reflektieren,0.0175,religion werte,0.0237,dabei,0.0243,verstehen,0.0256,werten,0.0664,mglichkeiten,0.0789,kompetenzbereiche,0.1164,moral,0.0727,gesundheit,0.0836,normen entscheidungssituationen,0.0587
19,sicherheit,0.0171,fach,0.0169,gewissens,0.0222,technik,0.0241,chancen,0.0242,verbunden,0.0324,sozialisation,0.0749,aufgabe,0.1101,begriffe,0.0706,dabei,0.0816,bne,0.0571
