subject,-1_lernen_knnen_ethik_fach,0_moralische_regeln_werten_bedeutung,1_religise_religion_religionen_unterricht,2_entscheidungen_handlungsoptionen_bewertungskriterien_kriterien,3_politische_recht_deutschland_politik,4_gelten_motivation_lernen_ethikunterricht,5_bestimmungen_gruppe_wenden_leistungen,6_kerncurriculum_unterrichtsfach werte_unterrichtsfach_schuljahrgnge,7_leben_guten_immer_prgen,8_digitalen_privaten_erstellen_setzen,9_konfliktsituationen_btv konfliktbewltigung_konfliktbewltigung interessenausgleich_konfliktbewltigung,entropy,subject_total,subject_proportion
Bio,0.2857,0.2083,0.0655,0.2917,0.0476,0.0119,0.0536,0.0,0.0,0.0357,0.0,2.447,168,0.1298
"Ethik, Philo",0.2379,0.4808,0.1419,0.0243,0.0141,0.0256,0.0064,0.023,0.023,0.0064,0.0166,2.1946,782,0.6043
Geschichte,0.2877,0.1644,0.1918,0.1644,0.1233,0.0,0.0411,0.0274,0.0,0.0,0.0,2.5341,73,0.0564
"Psychologie, Gesundheit",0.2812,0.5938,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,1.4613,32,0.0247
Sozialkunde,0.251,0.2929,0.0251,0.0879,0.2845,0.0084,0.0167,0.0,0.0,0.0209,0.0126,2.3296,239,0.1847
TOTAL,0.2504,0.3957,0.1113,0.0781,0.0742,0.0185,0.0178,0.0155,0.0139,0.0124,0.0124,2.4931,1294,1.0
