topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_lernen_knnen_ethik_fach,0.1481,0.5741,0.0648,0.0278,0.1852,1.7178,324,0.2504
0_moralische_regeln_werten_bedeutung,0.0684,0.7344,0.0234,0.0371,0.1367,1.2874,512,0.3957
1_religise_religion_religionen_unterricht,0.0764,0.7708,0.0972,0.0139,0.0417,1.1765,144,0.1113
2_entscheidungen_handlungsoptionen_bewertungskriterien_kriterien,0.4851,0.1881,0.1188,0.0,0.2079,1.7959,101,0.0781
3_politische_recht_deutschland_politik,0.0833,0.1146,0.0938,0.0,0.7083,1.3294,96,0.0742
4_gelten_motivation_lernen_ethikunterricht,0.0833,0.8333,0.0,0.0,0.0833,0.8167,24,0.0185
5_bestimmungen_gruppe_wenden_leistungen,0.3913,0.2174,0.1304,0.087,0.1739,2.1369,23,0.0178
6_kerncurriculum_unterrichtsfach werte_unterrichtsfach_schuljahrgnge,0.0,0.9,0.1,0.0,0.0,0.469,20,0.0155
7_leben_guten_immer_prgen,0.0,1.0,0.0,0.0,0.0,0.0,18,0.0139
8_digitalen_privaten_erstellen_setzen,0.375,0.3125,0.0,0.0,0.3125,1.5794,16,0.0124
9_konfliktsituationen_btv konfliktbewltigung_konfliktbewltigung interessenausgleich_konfliktbewltigung,0.0,0.8125,0.0,0.0,0.1875,0.6962,16,0.0124
TOTAL,0.1298,0.6043,0.0564,0.0247,0.1847,1.6375,1294,1.0
