rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,verantwortung,561,158.32036637713,0.05656389978381595
2,gesellschaft,210,86.81679753987392,0.031017466343525573
3,perspektive,104,86.22916344547,0.030807519406274055
4,leben,199,64.41788950958058,0.023014897766376035
5,frei,117,59.64035543465711,0.021308004554772317
6,bedürfnis,67,59.06656435648451,0.02110300338034798
7,konflikt,109,54.536359905889896,0.01948447484603904
8,begriff,144,52.37217521800734,0.018711265886255195
9,mensch,486,50.92169143465845,0.018193044376055047
10,dimension,53,43.25071772003972,0.015452397683737521
11,wunsch,39,39.98040051055051,0.014283995290970209
12,handlung,71,36.50615487694053,0.01304273438221411
13,handeln,328,33.34855029778693,0.011914601387961748
14,gewalt,73,32.19665563525082,0.011503058288711966
15,verschieden,150,26.857631273334036,0.009595558667144406
16,sexualität,29,26.45270524198316,0.009450888742602734
17,rolle,86,26.42988992214751,0.009442737400521796
18,familie,53,25.24500294518213,0.00901940697403347
19,form,99,25.216365208068655,0.009009175428154761
20,aspekt,39,25.12946102776034,0.00897812674213767
