term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
politisch,114,0.0517,0.0254,0.0004,0.0005,0.0166
fähigkeit,68,0.0148,0.0085,0.0003,0.0042,0.0255
vertreten,62,0.0214,0.0001,0.0143,0.0004,0.0002
entwickeln,61,0.0361,0.0029,0.0039,0.0053,0.0002
mensch,60,0.0098,0.0002,0.0297,0.009,0.0162
gesellschaftlich,56,0.0244,0.0101,0.0003,0.0018,0.0002
position,56,0.0001,0.0001,0.0325,0.0004,0.0316
entscheidung,54,0.0148,0.0013,0.0338,0.0004,0.0002
welt,48,0.0001,0.0091,0.0003,0.0071,0.0155
ökonomisch,48,0.0262,0.0164,0.0003,0.0007,0.0002
sozial,46,0.005,0.0225,0.0003,0.0004,0.0002
rationalität,45,0.0001,0.0062,0.0282,0.0208,0.0002
frage,44,0.0001,0.0055,0.0003,0.0338,0.0049
reflektieren,42,0.0179,0.0016,0.0035,0.0171,0.0025
unterricht,40,0.0001,0.0047,0.0208,0.0004,0.0262
wirtschaftlich,39,0.0124,0.0039,0.0003,0.0004,0.0002
urteil,38,0.0017,0.0151,0.0041,0.0005,0.0066
grundlage,36,0.016,0.0049,0.0004,0.0004,0.0165
handeln,35,0.0021,0.0158,0.0078,0.0004,0.0004
philosophisch,34,0.0001,0.0021,0.0164,0.0105,0.0053
reflektiert,33,0.0107,0.0004,0.0003,0.0004,0.0031
naturwissenschaftlich,32,0.0001,0.0113,0.0067,0.0004,0.0003
rahmen,32,0.0053,0.0015,0.0164,0.0004,0.0061
demokratisch,31,0.0195,0.0002,0.0003,0.0005,0.0002
gesellschaft,31,0.0067,0.0054,0.0093,0.0004,0.0002
interesse,31,0.0237,0.0026,0.0003,0.0008,0.0002
kriterium,31,0.0089,0.0001,0.0004,0.0004,0.0128
perspektive,31,0.0001,0.0125,0.0128,0.0037,0.0002
ethisch,29,0.0018,0.0036,0.0052,0.0004,0.0133
problem,29,0.0001,0.0069,0.0109,0.0005,0.0023
wissenschaftlich,29,0.0001,0.0105,0.0003,0.0026,0.0021
sinnvorstellung,28,0.0001,0.0004,0.0003,0.04,0.0002
kritisch,27,0.0041,0.0031,0.0166,0.0053,0.0002
urteilsfähigkeit,26,0.0276,0.0001,0.0003,0.0004,0.0002
verschieden,26,0.0026,0.0066,0.0012,0.0106,0.0073
bereitschaft,24,0.0048,0.0016,0.0003,0.0034,0.0133
toleranz,24,0.0112,0.0001,0.0005,0.0136,0.0002
wirtschaft,24,0.0041,0.0036,0.0119,0.0004,0.0002
wissenschaft,24,0.0015,0.0019,0.0003,0.0004,0.0134
analysieren,23,0.0035,0.0133,0.0004,0.0004,0.003
ermöglichen,22,0.0001,0.0092,0.0004,0.0004,0.0003
methode,22,0.0004,0.0083,0.0003,0.0021,0.0003
wissen,22,0.0001,0.0109,0.0003,0.0004,0.0002
möglichkeit,20,0.0038,0.0097,0.0003,0.0047,0.001
philosophie,20,0.0001,0.0001,0.0154,0.006,0.0019
argumentativ,19,0.0001,0.0001,0.0119,0.0019,0.0056
diskurse,19,0.0001,0.0004,0.0182,0.0004,0.0018
medium,19,0.0121,0.0001,0.0003,0.0031,0.0002
psychologisch,19,0.0001,0.0089,0.0003,0.0004,0.0018
stellen,19,0.0018,0.001,0.0065,0.0133,0.0002
technik,19,0.0001,0.0002,0.0003,0.0004,0.0137
beschreiben,18,0.0001,0.0031,0.0003,0.0161,0.0002
religion,18,0.0001,0.0001,0.0142,0.0083,0.0002
begründeter,17,0.0156,0.0001,0.0003,0.0004,0.0002
wesentlich,17,0.0001,0.0005,0.0097,0.0004,0.015
maßstab,16,0.0153,0.0001,0.0004,0.0004,0.0002
situation,16,0.0062,0.0081,0.0003,0.0004,0.0002
lassen,15,0.0001,0.0097,0.0004,0.0004,0.0002
aufgabe,14,0.0001,0.0002,0.0062,0.0126,0.0002
berücksichtigen,14,0.0001,0.0002,0.0003,0.0004,0.0222
beurteilen,14,0.0019,0.0118,0.0004,0.0004,0.0003
wertbezogen,14,0.0147,0.0001,0.0003,0.0004,0.0002
meinung,13,0.0003,0.0017,0.0003,0.0125,0.0002
menschlich,13,0.0001,0.0001,0.0151,0.0004,0.0002
person,13,0.0001,0.0006,0.0009,0.0162,0.0002
prüfen,12,0.0001,0.0002,0.0003,0.0171,0.0002
unterscheiden,12,0.0001,0.0001,0.0003,0.0136,0.0022
vernunft,12,0.0001,0.001,0.0014,0.0124,0.0003
denkweise,11,0.0127,0.0001,0.0003,0.0004,0.0002
lernende,11,0.0015,0.0005,0.0008,0.013,0.0002
deutungsmuster,10,0.0001,0.0004,0.0008,0.0132,0.0002
prozeß,10,0.0001,0.0008,0.0003,0.0004,0.0152
element,9,0.0001,0.0001,0.0003,0.0004,0.0247
begründung,8,0.0001,0.0002,0.0003,0.0111,0.0002
kriteriengeleiten,8,0.0001,0.0001,0.0003,0.0119,0.0002
fakt,7,0.0001,0.0001,0.0003,0.0033,0.0129
vergleich,7,0.0001,0.0001,0.0003,0.0104,0.0002
auszutrag,5,0.0001,0.0001,0.0003,0.0004,0.0128
entscheiden,5,0.0001,0.0003,0.0138,0.0004,0.0009
erfolgen,5,0.0001,0.0005,0.0003,0.0004,0.0121
legitim,5,0.0001,0.0001,0.0003,0.0004,0.0128
