Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
position,handeln,politisch,interesse,politisch
welt,perspektive,reflektiert,denkweise,entwickeln
mensch,sozial,vertreten,politisch,urteilsfähigkeit
rahmen,ökonomisch,entscheidung,unterricht,gesellschaftlich
philosophisch,rationalität,fähigkeit,element,ökonomisch
wissenschaft,wissenschaftlich,ökologie,vertreten,grundlage
argumentativ,sinnvorstellung,formulieren,regel,fähigkeit
frage,entscheidung,selbstständig,perspektivwechsel,begründet
diskurse,beurteilen,nennen,konflikt,demokratisch
ethisch,psychologisch,kriterium,reflektieren,maßstab
technik,mensch,ökonomie,austragen,wertbezogen
diskurs,analysieren,naturwissenschaftlich,rolle,toleranz
form,möglichkeit,wirtschaftlich,gewaltfrei,entwickel
erfassen,verhalten,sinn,zusammenhäng,medium
grund,diskutieren,umsetzungsmöglichkeit,einhalten,analyse
problemstellung,frage,spannungsverhältnis,verhalten,sachverhalt
bereich,beschreiben,verstehen,simulativ,schemata
verschieden,blick,begründen,versetzen,gesellschaft
erläutern,normativ,begründet,situation,chance
diskussion,erkennen,urteil,mensch,grundordnung
