Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
demokratisch,demokratie,demokratie,demokratie,demokratisch,politisch,demokratie
politisch,deutschland,demokratisch,politisch,entwickeln,demokratie,republik
gesellschaft,menschenrecht,politisch,entwicklung,politisch,demokratisch,weimarer
fach,herrschaft,europäisch,bildung,fähigkeit,medium,deutschland
demokratie,politisch,wahl,demokratisch,freiheitlich,bedeutung,deutsch
gesellschaftlich,europa,jugendliche,inhalt,entscheidung,deutschland,weltkrieg
lernende,international,bundesrepublik,kultur,bereitschaft,gesellschaft,diktatur
unterricht,revolution,institution,kompetenz,aktiv,system,nationalsozialismus
politik,jahrhundert,interesse,gesellschaftlich,demokratie,beurteilen,demokratisch
bürger,freiheit,schwerpunkt,handeln,reflektieren,möglichkeit,scheitern
sozial,verfassung,partizipation,partizipationsmöglichkeit,interesse,aktuell,europa
verantwortung,gewaltenteilung,prinzip,globalisierung,grundordnung,bundesrepublik,revolution
handeln,modern,idee,gesellschaft,leben,sozial,ddr
grundlage,art,form,struktur,hintergrund,herausforderung,europäisch
übernehmen,diktatur,politik,zusammenhang,erkennen,erkennen,historisch
historisch,bundesrepublik,deutschland,möglichkeit,mensch,erläutern,krieg
prozeß,parlamentarisch,grundlage,bezug,gesellschaftlich,partizipation,nationalsozialistisch
wert,volkssouveränität,entscheidungsprozeß,leben,vertreten,chance,staat
ziel,weg,themenfeld,teilhabe,handlungskompetenz,partei,geschichte
auseinandersetzung,nationalstaat,repräsentativ,nachhaltig,urteil,form,folge
