term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
sozial,228,0.0533,0.0056,0.0246,0.0011,0.01,0.0069,0.005,0.0001,0.0151,0.0158,0.0003,0.0287,0.0186,0.0077,0.0112
wunsch,195,0.0003,0.0821,0.0064,0.0012,0.0001,0.0001,0.0272,0.0001,0.0001,0.0375,0.0003,0.0017,0.0002,0.0042,0.008
mensch,184,0.001,0.0265,0.0045,0.0012,0.0001,0.0576,0.0043,0.0405,0.003,0.0001,0.0003,0.0095,0.0002,0.0143,0.0002
leben,146,0.0237,0.0019,0.0071,0.0012,0.003,0.0302,0.0084,0.0,0.0001,0.0108,0.0211,0.0001,0.0002,0.0421,0.0002
interesse,128,0.0051,0.0001,0.0221,0.0011,0.028,0.0078,0.0003,0.0001,0.0143,0.0117,0.0003,0.0186,0.0002,0.0001,0.0002
unterschiedlich,120,0.026,0.0001,0.0035,0.0012,0.0001,0.0001,0.0,0.0298,0.0242,0.0001,0.0003,0.0069,0.0002,0.0001,0.0002
fähigkeit,119,0.0185,0.0029,0.0566,0.0012,0.0001,0.001,0.0,0.0155,0.0001,0.0001,0.0003,0.0003,0.0002,0.0001,0.0002
handeln,110,0.0,0.0001,0.0001,0.0012,0.0294,0.0001,0.0272,0.0,0.0039,0.0001,0.0003,0.0001,0.0002,0.0088,0.0002
gefühl,103,0.022,0.0001,0.0144,0.0012,0.0001,0.0092,0.0062,0.004,0.0109,0.0001,0.0003,0.0091,0.0002,0.0001,0.0002
verschieden,94,0.0,0.0187,0.0091,0.0012,0.0001,0.0001,0.0102,0.0179,0.0003,0.0077,0.0003,0.0001,0.0192,0.0001,0.0002
gesellschaftlich,90,0.0193,0.0001,0.0139,0.0012,0.0001,0.0001,0.0089,0.0102,0.0001,0.0001,0.0003,0.0093,0.0002,0.0001,0.0002
familie,80,0.0,0.0001,0.0001,0.0012,0.0001,0.0001,0.0209,0.0105,0.0001,0.0145,0.0003,0.0001,0.0002,0.0001,0.0002
wirtschaftlich,75,0.0001,0.0002,0.0073,0.0012,0.0373,0.0001,0.0099,0.0,0.0001,0.0001,0.0003,0.0001,0.0002,0.0001,0.0002
freiheit,73,0.0049,0.0001,0.0001,0.0012,0.0001,0.0001,0.0151,0.0,0.0112,0.0063,0.0003,0.0075,0.0002,0.0001,0.0002
möglichkeit,71,0.0101,0.0001,0.0001,0.0012,0.0001,0.0011,0.0053,0.0055,0.0068,0.012,0.0003,0.0114,0.0002,0.0001,0.0002
regel,71,0.0001,0.0001,0.0001,0.0012,0.0001,0.0001,0.0141,0.0,0.0138,0.0124,0.0003,0.0001,0.0002,0.0073,0.0002
entwicklung,71,0.0003,0.0168,0.0234,0.0012,0.0047,0.0012,0.002,0.0026,0.0001,0.0001,0.0003,0.0057,0.0164,0.0001,0.0002
frage,70,0.0001,0.0001,0.0001,0.0011,0.0001,0.0236,0.0,0.0,0.0038,0.0001,0.0245,0.0175,0.0163,0.0001,0.0176
sucht,69,0.0044,0.0001,0.0001,0.0012,0.0001,0.0001,0.0,0.0,0.037,0.0078,0.0003,0.0007,0.0002,0.0102,0.0002
bedeutung,68,0.0001,0.0163,0.0103,0.0012,0.0001,0.0097,0.0043,0.0081,0.0071,0.0001,0.0003,0.0001,0.0002,0.0026,0.0002
rolle,68,0.0001,0.0001,0.0045,0.0012,0.003,0.0012,0.0002,0.0187,0.0001,0.0237,0.0003,0.0001,0.018,0.0001,0.0002
entwickeln,68,0.0,0.0001,0.0001,0.0012,0.0001,0.0001,0.0126,0.0165,0.0053,0.0001,0.0003,0.006,0.0002,0.0001,0.0002
individuell,68,0.0,0.0001,0.0054,0.0012,0.0096,0.0063,0.0018,0.0032,0.0053,0.0001,0.0003,0.0038,0.0309,0.0001,0.0349
umgang,64,0.0,0.045,0.0045,0.0011,0.0001,0.0001,0.005,0.0043,0.0001,0.0011,0.0003,0.0001,0.0002,0.0001,0.0002
verantwortung,63,0.0,0.0012,0.0026,0.0012,0.0001,0.0001,0.022,0.0023,0.0001,0.0002,0.0003,0.003,0.0002,0.0001,0.0002
funktion,62,0.0016,0.0001,0.0136,0.0012,0.0001,0.0001,0.0115,0.0,0.0103,0.003,0.0003,0.0001,0.0002,0.0043,0.0002
gesellschaft,60,0.0089,0.014,0.0001,0.0012,0.0107,0.0001,0.0,0.0172,0.0001,0.0001,0.0003,0.0001,0.0002,0.0001,0.0002
konflikt,60,0.0,0.0001,0.0001,0.0012,0.0147,0.0052,0.0065,0.0,0.0001,0.0208,0.0003,0.0001,0.0002,0.0001,0.0002
menschlich,60,0.0019,0.0001,0.0064,0.0012,0.0001,0.0189,0.0084,0.0062,0.0001,0.0001,0.0003,0.0001,0.0002,0.002,0.0002
nehmen,59,0.0179,0.0001,0.0026,0.0012,0.0001,0.0047,0.0005,0.0065,0.0001,0.0001,0.0003,0.0122,0.0002,0.0001,0.0002
wahrnehmung,59,0.0,0.0001,0.0001,0.0011,0.0001,0.0001,0.0196,0.0,0.0079,0.0001,0.0003,0.0001,0.0002,0.0001,0.0002
welt,59,0.0063,0.0001,0.0017,0.0012,0.0048,0.0126,0.0,0.0001,0.0001,0.0001,0.0003,0.0197,0.0002,0.0001,0.0081
glück,59,0.004,0.0232,0.0001,0.0012,0.0001,0.0001,0.0,0.0022,0.0013,0.005,0.0003,0.0001,0.0002,0.0299,0.0002
