topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,8,0.1903,131,54.726
2,6,0.1533,90,18.1881
3,3,0.1283,73,20.8089
4,10,0.122,63,40.4999
5,5,0.0998,53,33.8631
6,9,0.0868,50,30.5226
7,2,0.0671,36,59.9936
8,7,0.0619,28,31.5407
9,4,0.0466,24,66.8071
10,1,0.044,21,46.0146
