term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
diskutieren,8,0.0016,0.0032,0.0002,0.026,0.0013,0.0006,0.0005
engagement,8,0.0252,0.0032,0.0151,0.0013,0.0003,0.0006,0.0004
ethnozentrismen,8,0.0003,0.0032,0.0002,0.0013,0.0003,0.0005,0.0114
gewalt,8,0.0236,0.0032,0.0002,0.0013,0.0239,0.0005,0.0005
gruppe,8,0.0003,0.0032,0.0309,0.0013,0.0004,0.0005,0.0004
kinderarbeit,8,0.0003,0.0031,0.0002,0.0356,0.0003,0.0005,0.0004
maßnahme,8,0.0003,0.0032,0.0183,0.0013,0.0003,0.0005,0.0005
sozialisation,8,0.0003,0.0032,0.0562,0.0013,0.0003,0.0005,0.0004
typisch,8,0.0003,0.0032,0.0002,0.0013,0.0003,0.0005,0.0114
versatzstück,8,0.0003,0.0032,0.0002,0.0013,0.0003,0.0005,0.0114
zusammenhang,8,0.0003,0.0097,0.0003,0.0106,0.0032,0.0005,0.0035
analyse,7,0.0025,0.0032,0.0002,0.0014,0.0427,0.0005,0.0005
diversität,7,0.0207,0.0032,0.03,0.0013,0.0003,0.0005,0.0004
menschenrechtsverletzung,7,0.0003,0.0032,0.0002,0.0313,0.0003,0.0005,0.0004
nationalismus,7,0.0003,0.0032,0.0002,0.0013,0.026,0.0006,0.0005
partizipation,7,0.0012,0.0032,0.0167,0.0013,0.0009,0.0005,0.0004
weimarer,7,0.0003,0.0136,0.0003,0.0015,0.0004,0.0107,0.0004
arbeitsmigration,6,0.0003,0.0032,0.0296,0.0013,0.0003,0.0005,0.0005
auseinandersetzung,6,0.0003,0.0033,0.0002,0.0013,0.0437,0.0005,0.0004
betroffener,6,0.0245,0.0032,0.0142,0.0013,0.0003,0.0005,0.0004
frieden,6,0.0465,0.0033,0.0003,0.0013,0.0003,0.0005,0.0004
gerechtigkeit,6,0.0003,0.0033,0.0296,0.0013,0.0003,0.0005,0.0004
grundbegriff,6,0.0003,0.0032,0.0002,0.027,0.0003,0.0005,0.0004
produkt,6,0.0003,0.0032,0.0002,0.0253,0.0003,0.0012,0.0004
republik,6,0.0003,0.0136,0.0003,0.0015,0.0004,0.009,0.0004
webquest,6,0.0003,0.024,0.0002,0.0014,0.0003,0.0006,0.0059
bleiben,5,0.0003,0.0033,0.0163,0.0013,0.0003,0.0005,0.0004
bundesrepublik,5,0.0004,0.0109,0.0002,0.0013,0.0046,0.0005,0.0004
fachintern,5,0.023,0.0033,0.0018,0.0013,0.0003,0.0005,0.0004
folter,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
grundbedürfnisse,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
grundrecht,5,0.0256,0.0032,0.0002,0.0013,0.0003,0.0005,0.0004
güterabwägung,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
hilfsaktion,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0006,0.0004
katastrophenfälle,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
leer,5,0.0003,0.0033,0.0163,0.0013,0.0003,0.0005,0.0004
lernorte,5,0.0003,0.0136,0.0002,0.0014,0.0003,0.0005,0.0059
misshandlunge,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
psychisch,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
todesstrafe,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
verbindung,5,0.0003,0.0136,0.0002,0.0013,0.023,0.0006,0.0004
vergleich,5,0.0005,0.0132,0.0002,0.0014,0.0012,0.0006,0.0045
verletzung,5,0.0003,0.0032,0.0002,0.0227,0.0003,0.0005,0.0004
wandel,5,0.0003,0.0136,0.0018,0.0013,0.0003,0.0006,0.0026
