,text_excerpt,state,school type,grade,year,subject,doc_id
8300,"Ökologie, Fundamentalismus/Biblizismus, aktuelle ethische Fragen ggf. Lied, z. B. Ich träume eine Kirche Alive Kompetenzerwartungen Die Schülerinnen und Schüler ... beschreiben an konkreten Beispielen aus ihrer Lebenswelt das Spannungsfeld von Freiheit und Verantwortung. diskutieren die Notwendigkeit sozialen Handelns im Zusammenleben von Menschen und begründen, inwiefern Christen in besonderer Weise zur Übernahme politischer und gesellschaftlicher Mitverantwortung aufgerufen sind. erläutern Schritte ethischer Urteilsfindung",Bayern,Realschule,,2023,"Ethik, Philo",8300
8301,"führen. In diesem Zusammenhang bleibt es eine gesellschaftspolitische Aufgabe zu gewährleisten, dass möglichst jedes Individuum von diesen Gestaltungsmöglichkeiten aktiv profitieren kann. Die Schülerinnen und Schüler sind aufgefordert, im Rahmen ihrer Freiheit und Verantwortung ein selbstbestimmtes Leben zu führen und sich mit Lebensentwürfen im Hinblick auf Identität, Arbeit, Sexualität und Liebe auseinander zu setzen. Die Beschäftigung damit soll sie dazu befähigen, eigene",Niedersachsen,Gym,Sek2,2018,"Ethik, Philo",8301
8302,"das Profane RT Rechtspositivismus RT Religionen RT Säkularismus RT Schuld RT Schuldfähigkeit RT Weltanschauung RT Qualifikationsphase Anthropologie RT Autonomie RT Deontologie RT Determinismus RT Dualismus RT Eudaimonismus RT Falsifikation RT Freiheit RT Glauben-Meinen-Wissen RT Glück s. Eudaimonismus Handlungsutilitarismus quantitativ und qualitativ RT Hedonismus RT , RT Herrschaft RT Indeterminismus RT kategorischer Imperativ RT Kohärenztheorie RT Kompatibilismus RT Konsenstheorie RT Korrespondenztheorie RT",Niedersachsen,Gym,Sek2,2018,"Ethik, Philo",8302
8303,"biblischen Schöpfungsauftrages Möglichkeiten, Leben zu schützen und sich für die Natur einzusetzen. Inhalte zu den Kompetenzen: Schöpfung nach dem Bild und zur Ähnlichkeit Gottes, Mensch als Beziehungswesen, Schöpfungsauftrag, Verantwortung und Freiheit, Sündhaftigkeit Gen - Problemstellungen, z. B. künstliche Befruchtung, Geburtenkontrolle, Abtreibung, Sterbehilfe, Todesstrafe, Organspende; Bezug zu kirchlichen Dokumenten, z. B. Sozialdoktrin der ROK, kanonisches Recht Fastenregeln und Askese; Brotbitte des Vaterunsers",Bayern,Realschule,,2023,Sozialkunde,8303
8304,"und A. Gehlen Plessners Theorie der exzentrischen Positionalität der Mensch als animal symbolicum bei E. Cassirer Kultur als spezifische Differenz zwischen Mensch und Tier z. B. bei K. Löwith Angst, Freiheit und Handeln als basale Kategorien im Existentialismus der Existentialismus als Humanismus bei J.-P. Sartre Phänomenologie des Ekels bei J.-P. Sartre die Philosophie des Absurden bei A. Camus der feministische Existentialismus",Niedersachsen,Gym,Sek2,2018,"Ethik, Philo",8304
8305,"Prozess Herausforderungen der Politik verfassungsfeindliche Strömungen, gruppenbezogene Menschenfeindlichkeit, Gewalt und Terrorismus Kontroversen zur Bundesebene sozialer Ausgleich versus Leistungsgerechtigkeit Fürsorge des Staates versus freie Entfaltung des Individuums und der Wirtschaft persönliche Freiheit versus innere Sicherheit Beitrag zur Leitperspektive W: In diesem Modul bestehen vielfältige Zusammenhänge zu der aus dem Grundrechtskatalog des Grundgesetzes ableitbaren Werteordnung. Diese kann in vielfältigen Zusammenhängen thematisiert werden; zugleich",Hamburg,Stadtteilschule,5-11,2024,Sozialkunde,8305
8306,"Erkenntnisse, die sie in der Auseinandersetzung mit den Grund- und Menschenrechten gewonnen haben, und diskutieren mögliche Zielkonflikte, die bei der Realisierung von Grundrechten entstehen können, z. B. am Spannungsverhältnis zwischen Freiheit und Sicherheit. Aus den Ergebnissen leiten sie mögliche Rückschlüsse für staatliches und privates Handeln ab. beurteilen aktuelle Herausforderungen für Rechtsstaat und Demokratie u. a. anhand von Karikaturen und erfassen so",Bayern,Realschule,,2023,Sozialkunde,8306
8307,"Wirken Gottes: Genesis -, Verkündigung Mariä, Fürsorge Gottes, z. B. Bergpredigt; der lebensschaffende und lebenserhaltende Logos Joh ,f. Lernbereich : Meinen Weg finden ca. Std. Lernbereich : Patrologie ca. Std. Freiheit des Menschen, das Leben zu gestalten, kreativ zu sein und in der tätigen Liebe zu Schöpfung und Schöpfer zu wachsen; Verantwortung für die Umwelt und alle Lebewesen; ggf. Projekt Kompetenzerwartungen",Bayern,Realschule,,2023,Sozialkunde,8307
8308,"und können so in verschiedenen Situationen jeweils adäquat reagieren. erschließen den Zusammenhang von Werten und Normen und die Funktion von Normen bzw. deren Bedeutung zum Schutz von Werten u. a. Freiheit, Gleichheit, Sicherheit mithilfe des Grundgesetzes Grundrechte und allgemeiner Gesetze z. B. BGB, StGB, um sie als Rahmenbedingungen für ein geordnetes Zusammenleben zu begreifen. analysieren Veränderungen von Werten und Normen an",Bayern,Realschule,,2023,Sozialkunde,8308
8309,": Politische Strukturen ca. Std. Kompetenzerwartungen Die Schülerinnen und Schüler ... erkennen den Wesenskern der Grundrechte, indem sie an konkreten Fallbeispielen mögliche Zielkonflikte zwischen Grund- und Menschenrechten herausarbeiten z. B. Freiheit versus Sicherheit. Dabei begreifen sie die essenzielle Bedeutung von Grund- und Menschenrechten für das friedliche Zusammenleben in der Gesellschaft und die freie Entfaltung der Persönlichkeit des Individuums und handeln entsprechend",Bayern,Realschule,,2023,Sozialkunde,8309
