subject,-1_gewalt_auswirkungen_analysieren_kompetenzen,0_folgen_auswirkungen_analysieren_deutschland,1_genetische_variabilitt_fortpflanzung_selektion,2_behandlung_kommunikation_biodiversitt_wirkung,3_iii_zusammenhang_sachverhalte_sachverhalt,4_geeignete_daten_modelle_interpretieren,5_differenzierte_nutzen_zeigen_auseinandersetzung,6_jugendlichen_formen_beschreiben ursachen_einfluss,7_beurteilungskompetenz_methodenkompetenz_folgen_anhand,8_sozialverhalten_evolution_exogene_fitness,9_verhalten_proximate_ultimate ursachen_ultimate,entropy,subject_total,subject_proportion
Bio,0.0798,0.076,0.3232,0.2548,0.0304,0.0837,0.0,0.0,0.0,0.076,0.076,2.6211,263,0.206
"Ethik, Philo",0.2941,0.521,0.0,0.0252,0.1513,0.0,0.0084,0.0,0.0,0.0,0.0,1.6133,119,0.0932
Geschichte,0.0797,0.8214,0.0027,0.0,0.0385,0.0,0.0495,0.0082,0.0,0.0,0.0,0.9996,364,0.285
Psychologie,0.2353,0.2941,0.0588,0.1765,0.1765,0.0588,0.0,0.0,0.0,0.0,0.0,2.3746,17,0.0133
Sozialkunde,0.1051,0.7763,0.0,0.0078,0.0272,0.0039,0.0039,0.035,0.0409,0.0,0.0,1.2414,514,0.4025
TOTAL,0.112,0.6147,0.0681,0.0603,0.0446,0.0196,0.0164,0.0164,0.0164,0.0157,0.0157,2.0851,1277,1.0
