topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,7,0.1883,236,44.2944
2,3,0.1335,198,40.4417
3,1,0.122,133,53.9871
4,6,0.1128,110,89.037
5,2,0.107,126,51.5904
6,4,0.0857,91,63.7918
7,5,0.0833,88,33.9184
8,9,0.0757,83,42.264
9,8,0.0497,49,120.482
10,10,0.0421,40,66.8532
