term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
philosophisch,62,0.0026,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0044,0.0,0.0075
europäisch,61,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0251,0.0,0.0,0.0
formulieren,61,0.0,0.0,0.0001,0.0045,0.0126,0.0,0.0,0.0,0.011,0.0
funktion,61,0.0133,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0012,0.0,0.0
bestimmt,60,0.0011,0.0126,0.0115,0.0001,0.0001,0.0,0.0022,0.0,0.0,0.0006
gesetz,59,0.003,0.0,0.016,0.0001,0.0001,0.0,0.0048,0.0019,0.0,0.0
reflexion,57,0.001,0.0,0.0001,0.0001,0.0001,0.0008,0.0,0.003,0.0,0.0097
einzeln,56,0.0079,0.0,0.0001,0.0048,0.0001,0.0,0.0045,0.0,0.0,0.0
sicherheit,55,0.0,0.0174,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0055
überprüfen,54,0.0007,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0007,0.0105,0.0022
fragestellung,54,0.0009,0.0028,0.0001,0.0001,0.0001,0.0,0.0,0.0033,0.0,0.0078
rolle,54,0.0,0.0,0.0001,0.0001,0.0001,0.0013,0.0033,0.0,0.0026,0.0088
kritisch,53,0.0,0.0,0.0001,0.0001,0.0001,0.0023,0.0,0.0096,0.0,0.0
diskussion,53,0.0008,0.0,0.0001,0.0001,0.0001,0.0045,0.0089,0.0007,0.0,0.0
natur,53,0.0093,0.0,0.0001,0.0001,0.0001,0.0026,0.0,0.0,0.0008,0.0
zentral,52,0.0,0.009,0.0001,0.0048,0.0001,0.0018,0.0,0.0017,0.0013,0.0027
erschließen,52,0.0083,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.004,0.0
familie,52,0.0,0.0153,0.0133,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0
institution,51,0.0004,0.0,0.0001,0.0001,0.0001,0.0007,0.0,0.0,0.0,0.0143
nehmen,51,0.0018,0.0043,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0091,0.0
pflicht,51,0.0078,0.0,0.0001,0.0001,0.0001,0.0042,0.0,0.0,0.0,0.0
technisch,50,0.0,0.0,0.0227,0.0001,0.0001,0.0,0.0055,0.0,0.0,0.0
iii,49,0.0025,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0101,0.0
ökonomisch,49,0.0043,0.0,0.0001,0.0001,0.0001,0.0,0.0102,0.0,0.0,0.0013
grundlegend,48,0.0024,0.0,0.0001,0.0115,0.0001,0.0,0.0,0.0048,0.0,0.0
geltend,48,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0179,0.0,0.0,0.0
normativ,47,0.0085,0.0,0.0001,0.0045,0.0001,0.0,0.0,0.0009,0.0,0.0
philosophie,47,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0085,0.0016,0.0
setzen,46,0.0025,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0076,0.0,0.0
leisten,46,0.0,0.0016,0.0001,0.009,0.012,0.0042,0.0,0.0,0.0,0.0
weltanschaulich,45,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.004,0.0068,0.0,0.0
wirtschaftlich,45,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0178,0.0,0.0,0.0
hinblick,44,0.0,0.0128,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0054,0.0
grundbegriff,43,0.0046,0.0,0.0001,0.0001,0.0149,0.0,0.0,0.0012,0.0,0.0
system,42,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0021,0.0095
treffen,41,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0093,0.0,0.0
kerncurriculum,41,0.0,0.0,0.0001,0.0047,0.0257,0.0,0.002,0.0,0.0,0.0
berücksichtigung,41,0.0,0.0128,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0039,0.0001
verbindlich,41,0.0,0.0,0.0001,0.0096,0.0172,0.0,0.0,0.0005,0.0,0.0018
dimension,41,0.0,0.0,0.0001,0.0001,0.0001,0.0095,0.0,0.0,0.0,0.0007
verwendung,39,0.0,0.0025,0.0001,0.0001,0.0336,0.0001,0.0,0.0,0.0,0.0
ritual,39,0.0,0.0124,0.0001,0.0001,0.0001,0.0,0.0,0.0014,0.001,0.0
schuljahrgang,38,0.0,0.0047,0.0001,0.0001,0.0177,0.0,0.0,0.0018,0.0001,0.0
art,38,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0088,0.0,0.0
handlungsoption,37,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0095,0.0
geschichte,36,0.0005,0.0,0.0001,0.011,0.0001,0.0,0.0002,0.0,0.0014,0.0034
häufig,36,0.0,0.0053,0.0001,0.0001,0.0001,0.0,0.0077,0.0,0.0,0.0
