term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
lernen,179,0.0,0.0001,0.0005,0.0007,0.0314,0.0001,0.0202,0.0013,0.0227,0.0496,0.0001,0.0017,0.0107,0.0326,0.032,0.0004,0.0008,0.0012,0.0139,0.0001
kommunikation,136,0.002,0.0001,0.0005,0.0007,0.0302,0.0027,0.0001,0.0013,0.0,0.0169,0.0001,0.0001,0.0162,0.0001,0.0003,0.0004,0.0009,0.0012,0.0542,0.0057
international,121,0.0638,0.0001,0.0005,0.0007,0.0001,0.0001,0.0001,0.0012,0.0,0.0001,0.0001,0.0145,0.0,0.0001,0.0003,0.0004,0.0008,0.0012,0.0001,0.0001
individuell,117,0.0,0.0299,0.0005,0.0007,0.0001,0.0001,0.0049,0.0013,0.0304,0.0219,0.0001,0.0001,0.0,0.0027,0.0819,0.0004,0.0008,0.0012,0.0001,0.0081
sozial,104,0.0012,0.0001,0.0005,0.0007,0.0001,0.0001,0.0001,0.0013,0.0,0.0001,0.0304,0.0166,0.0265,0.0001,0.0333,0.0004,0.0008,0.0013,0.0149,0.0069
medium,85,0.004,0.0043,0.0005,0.0007,0.0001,0.0001,0.0083,0.0013,0.0431,0.0081,0.0001,0.0001,0.0,0.0001,0.0003,0.0004,0.0008,0.0012,0.0001,0.0001
konflikt,84,0.0286,0.0001,0.0005,0.0007,0.0001,0.0001,0.0001,0.0012,0.0,0.0001,0.0001,0.0001,0.0169,0.0001,0.0003,0.0004,0.0008,0.0013,0.0001,0.0001
angemessen,83,0.0,0.0227,0.0005,0.0007,0.0001,0.0001,0.0001,0.0013,0.0045,0.0022,0.0001,0.0001,0.0128,0.0216,0.0003,0.0004,0.0008,0.0013,0.0001,0.0001
entwicklung,81,0.0184,0.0001,0.0005,0.0007,0.0001,0.0017,0.0001,0.0012,0.0086,0.0077,0.0001,0.0001,0.0141,0.0001,0.0003,0.0004,0.0008,0.0013,0.0001,0.0001
politisch,80,0.0512,0.0001,0.0005,0.0007,0.0001,0.0001,0.0001,0.0012,0.0032,0.0001,0.0001,0.0001,0.0001,0.0001,0.0003,0.0004,0.0008,0.0012,0.0045,0.0001
bedeutung,80,0.0093,0.0044,0.0005,0.0007,0.0001,0.0039,0.0132,0.0012,0.0125,0.0014,0.0001,0.0001,0.012,0.0001,0.0003,0.0004,0.0008,0.0013,0.0034,0.0001
unterschiedlich,76,0.0012,0.0117,0.0005,0.0007,0.0001,0.0203,0.0001,0.0012,0.0058,0.009,0.0135,0.0001,0.0057,0.0001,0.0003,0.0004,0.0008,0.0012,0.0194,0.0001
fördern,72,0.0,0.0001,0.0005,0.0007,0.0292,0.0001,0.0117,0.0012,0.0274,0.0127,0.0001,0.0001,0.0,0.0001,0.0003,0.0004,0.0008,0.0012,0.0028,0.0001
möglichkeit,69,0.0094,0.0001,0.0005,0.0007,0.0001,0.0001,0.0001,0.0013,0.0113,0.0001,0.0053,0.0001,0.0,0.0229,0.0003,0.0004,0.023,0.0012,0.0084,0.0001
selbstständig,68,0.0,0.0067,0.0005,0.0007,0.0271,0.0001,0.0001,0.0012,0.0018,0.0198,0.0139,0.0001,0.0111,0.0001,0.0003,0.0004,0.0008,0.0012,0.0001,0.0001
