Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
beschreiben,vernunft,bedürfnis,beschreiben,gedanke
situation,leben,erkennen,situation,beschreiben
perspektive,sozial,entwickeln,verschieden,brainstorming
unterscheid,bedürfnis,sozial,möglichkeit,kompetenz
armut,lernende,erfassen,erläutern,verändern
wohlstand,gesellschaftlich,reflektieren,folge,mindmap
mensch,mensch,kultur,bewerten,zusammenhang
regel,ethisch,kompetenz,vorurteil,liebe
wahrnehmung,bedeutung,interesse,unterschiedlich,darstellung
kompetenzerwartungen,moralisch,aspekt,bestimmt,umgang
klassengemeinschaft,individualität,sehen,gedanke,dauer
bestimmen,handeln,mensch,person,differenzieren
kompetenz,frage,grenze,relevant,begriff
kontrollieren,fähigkeit,nehmen,frage,form
begriff,emotion,personal,stellen,inhaltsbezogen
weise,perspektive,wert,reagieren,situation
möglichkeit,kognitiv,persönlich,mensch,erleben
relevant,unterschiedlich,dimension,verstehen,auslösen
methodischdidaktisch,handlung,potenzial,denken,sexualität
inhaltsbezogen,verantwortung,wirklichkeit,deutsch,verdeutlichen
