Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
mensch,konsum,sozial,interesse,fähigkeit,entwickeln,wunsch
liebe,leben,beschreiben,handeln,sozial,lernen,freiheit
rolle,wunsch,handeln,individuell,lernende,toleranz,sucht
sexualität,ding,kultur,wirtschaftlich,reflektieren,wunsch,familie
kompetenz,umgang,grundlage,gesellschaft,gefühl,gesellschaftlich,eth
verschieden,konfliktsituation,unterschiedlich,unterschiedlich,nehmen,verantwortung,beschreiben
leben,frage,gut,politisch,regel,medium,leben
grundbedürfnis,begriff,welt,nutzen,erfassen,setzen,sozial
wahrnehmen,möglich,wirtschaftlich,struktur,unterschiedlich,gefühl,glück
menschlich,mensch,bedürfnisse,knappheit,vielfalt,kritisch,wahrnehmung
frage,mangelnd,funktion,möglichkeit,gemeinschaft,akzeptanz,situation
lebensform,sozial,menschlich,entscheidung,interesse,global,erläutern
spielen,handeln,erläutern,lernende,sozialkompetenz,vorstellung,vergleich
beispiel,beschreiben,form,themenfelder,verantwortlich,selbstfindung,diskutieren
ethik,konflikt,chance,verhalten,erkennen,kommunikation,funktion
religion,freundschaft,geld,akteur,wirklichkeit,lebensform,kriterium
mobbing,bedeutung,wirtschaft,system,emotion,erkennen,handlung
weltanschauung,vorstellung,sachkompetenz,fähigkeit,gesellschaftlich,vielfalt,weg
inhalt,stellen,digital,wandel,grenze,unterschiedlich,empfindung
erläutern,führen,person,ziel,voraussetzung,dialogpartner,mensch
