term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
sozial,228,0.0226,0.0056,0.0425,0.0001,0.0174,0.0067,0.0086
wunsch,195,0.0028,0.0338,0.0067,0.0001,0.005,0.0001,0.0294
mensch,184,0.0094,0.0174,0.0012,0.0024,0.0073,0.0262,0.0176
leben,146,0.0308,0.0049,0.0108,0.0001,0.0001,0.0155,0.007
interesse,128,0.0048,0.0028,0.0185,0.0079,0.0094,0.0207,0.0003
unterschiedlich,120,0.0064,0.0001,0.0112,0.0199,0.0211,0.0062,0.0
fähigkeit,119,0.0001,0.0032,0.0368,0.0001,0.0093,0.0001,0.0021
handeln,110,0.0001,0.0001,0.0001,0.0001,0.0001,0.0078,0.0274
gefühl,103,0.0049,0.0001,0.0233,0.0036,0.0059,0.0027,0.0047
verschieden,94,0.0001,0.008,0.0033,0.0001,0.0084,0.003,0.0135
gesellschaftlich,90,0.0001,0.0134,0.0111,0.0001,0.0036,0.0001,0.0104
familie,80,0.0001,0.0001,0.0001,0.0001,0.0003,0.0001,0.0225
wirtschaftlich,75,0.0001,0.0184,0.0001,0.0186,0.0001,0.0001,0.007
freiheit,73,0.0068,0.0038,0.0056,0.0001,0.0001,0.0001,0.0119
regel,71,0.0177,0.0001,0.0014,0.0001,0.0107,0.0001,0.0034
entwicklung,71,0.0008,0.0285,0.0001,0.0002,0.0058,0.0023,0.002
frage,70,0.0004,0.0001,0.0001,0.0001,0.018,0.0143,0.0
sucht,69,0.0122,0.0001,0.0196,0.0001,0.0001,0.0001,0.0
bedeutung,68,0.0007,0.0146,0.0018,0.0034,0.0001,0.0026,0.0084
rolle,68,0.0045,0.0001,0.0001,0.0239,0.0063,0.0057,0.0009
entwickeln,68,0.0001,0.004,0.0001,0.0071,0.0117,0.0001,0.0076
individuell,68,0.0002,0.0073,0.0001,0.0074,0.0122,0.0049,0.0031
umgang,64,0.0001,0.017,0.0001,0.0001,0.0052,0.0001,0.0069
verantwortung,63,0.0001,0.0051,0.0001,0.0001,0.0001,0.0001,0.0158
funktion,62,0.0016,0.0001,0.0042,0.0177,0.0001,0.0001,0.0077
gesellschaft,60,0.0001,0.0089,0.0001,0.0001,0.0001,0.0236,0.0
konflikt,60,0.0091,0.0001,0.0002,0.0001,0.0001,0.0136,0.0048
menschlich,60,0.0001,0.0001,0.0001,0.0001,0.0022,0.0033,0.0136
nehmen,59,0.0001,0.0001,0.0175,0.0001,0.0053,0.002,0.0009
wahrnehmung,59,0.0001,0.0001,0.0038,0.0001,0.0001,0.0001,0.0134
welt,59,0.0084,0.0001,0.0002,0.0017,0.0131,0.0065,0.0001
glück,59,0.0224,0.0079,0.0001,0.0038,0.0001,0.0001,0.0
konsum,59,0.0158,0.0002,0.0001,0.0207,0.0001,0.0001,0.0009
wahrnehmen,52,0.0012,0.0001,0.0001,0.0026,0.0127,0.0001,0.0055
liebe,52,0.0108,0.0001,0.0004,0.0001,0.0001,0.0001,0.0089
erfassen,51,0.0035,0.0001,0.0192,0.0001,0.0001,0.0001,0.0
vielfalt,51,0.0001,0.0001,0.0108,0.0001,0.0011,0.0001,0.0069
eth,48,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0142
vorstellung,48,0.0053,0.0038,0.0005,0.0117,0.0001,0.0001,0.0044
auseinandersetzung,47,0.0001,0.0001,0.0017,0.0001,0.0092,0.0001,0.0065
lebensform,47,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0134
lernen,47,0.0001,0.0001,0.0001,0.0001,0.0144,0.0001,0.0048
zusammenhang,45,0.0001,0.0001,0.0001,0.0001,0.0067,0.0001,0.0086
kultur,45,0.0143,0.0001,0.0001,0.0001,0.0029,0.0026,0.0026
situation,44,0.0023,0.0093,0.003,0.0001,0.0041,0.0001,0.0024
gemeinschaft,44,0.0077,0.0001,0.0001,0.0001,0.0008,0.0095,0.0027
inhalt,44,0.0046,0.0001,0.0001,0.0114,0.0001,0.0102,0.0
ethik,42,0.0213,0.0001,0.0001,0.0001,0.0001,0.002,0.0001
verantwortlich,42,0.0001,0.0001,0.0116,0.0001,0.0003,0.0001,0.004
gruppe,41,0.0027,0.0063,0.0001,0.0001,0.0029,0.0102,0.0
identität,41,0.0031,0.0001,0.0001,0.0159,0.0001,0.0035,0.0023
freundschaft,40,0.0124,0.0007,0.0026,0.0001,0.0001,0.0001,0.0031
grenze,39,0.0017,0.0001,0.0127,0.0001,0.0001,0.0001,0.0019
politisch,38,0.0001,0.0028,0.0001,0.0001,0.0001,0.0126,0.0027
prinzip,38,0.014,0.0017,0.0001,0.0001,0.0001,0.0001,0.0034
nachhaltig,37,0.0001,0.0232,0.0001,0.0001,0.0001,0.0001,0.0
sozialkompetenz,37,0.0001,0.0001,0.0118,0.0001,0.0001,0.0049,0.0
ökonomisch,37,0.008,0.0155,0.0001,0.0003,0.0001,0.0001,0.0003
person,36,0.0001,0.0001,0.0001,0.0001,0.01,0.0001,0.0042
problem,36,0.0011,0.009,0.0017,0.0001,0.0045,0.0001,0.0019
emotion,36,0.0001,0.0001,0.0146,0.0001,0.0001,0.0006,0.0002
potenzial,35,0.0001,0.0001,0.0147,0.0001,0.0001,0.0001,0.0
grundlegend,35,0.0001,0.0001,0.0001,0.0001,0.0001,0.0033,0.008
