term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
demokratisch,96,0.0011,0.0179,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0075
möglichkeit,95,0.0045,0.0011,0.0001,0.0,0.0,0.0028,0.0118,0.0,0.0018,0.0
dimension,94,0.0,0.0,0.0001,0.0,0.0,0.0049,0.0,0.0,0.0,0.0081
form,89,0.0,0.0,0.0001,0.0026,0.0,0.0051,0.0,0.0091,0.0,0.0031
sprache,89,0.0,0.0,0.0001,0.0034,0.0,0.0033,0.0,0.0,0.0088,0.0022
umgang,88,0.0,0.0,0.0001,0.0001,0.0021,0.0025,0.0023,0.0158,0.0027,0.0
menschlich,88,0.0,0.0,0.0001,0.0,0.0,0.0079,0.0,0.0,0.0062,0.0
mitin,86,0.0,0.0,0.0001,0.0211,0.0,0.0024,0.0,0.0,0.0,0.0
orientierung,86,0.0,0.0,0.0136,0.0054,0.0031,0.0041,0.0,0.0,0.0,0.001
republik,86,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.011
islam,85,0.0,0.0,0.0001,0.0,0.0,0.0025,0.0,0.0274,0.0,0.0
antike,84,0.0,0.0,0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0108
bereich,84,0.0014,0.0,0.0001,0.0,0.0063,0.0,0.0,0.0,0.0105,0.0004
antik,83,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0112
beitrag,83,0.0016,0.0201,0.0083,0.0,0.0,0.0001,0.0,0.0,0.0,0.0
modern,77,0.0,0.0,0.0027,0.0,0.0058,0.0,0.0,0.0153,0.0017,0.0
römisch,76,0.0,0.0022,0.0001,0.0,0.0,0.0,0.001,0.0,0.0,0.0088
französisch,74,0.0095,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0055
individuum,73,0.0,0.0,0.0001,0.0063,0.0,0.0003,0.0085,0.0,0.0,0.0025
menschenrecht,72,0.0,0.0026,0.0144,0.0,0.0016,0.0,0.0078,0.0,0.0,0.0
gegenwart,72,0.0,0.0088,0.0001,0.0,0.0105,0.0,0.0,0.0,0.0,0.0
erklären,72,0.0,0.006,0.0001,0.0,0.0075,0.0,0.0,0.0059,0.0,0.0012
unterschied,70,0.0,0.0,0.0001,0.0,0.0073,0.0004,0.0035,0.0,0.0054,0.0
individuell,70,0.0018,0.0,0.0207,0.0,0.0029,0.0009,0.0,0.0,0.0006,0.0
chance,69,0.0,0.0,0.0001,0.0,0.0,0.0071,0.0,0.0,0.0008,0.0024
weimarer,68,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0087
deutschland,65,0.0,0.0032,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.008
globalisierung,64,0.0,0.0,0.0001,0.0046,0.0,0.0008,0.0,0.0,0.0078,0.0012
jahrhundert,63,0.0,0.0,0.0001,0.0083,0.0,0.0,0.0,0.0,0.0,0.0053
inhaltsbezogen,62,0.0,0.0,0.0001,0.0024,0.0,0.007,0.0,0.0,0.0002,0.0
arbeit,60,0.0008,0.0096,0.0001,0.0,0.0,0.0,0.0,0.0,0.0054,0.0
fähigkeit,59,0.0,0.0,0.0138,0.0,0.0071,0.0006,0.0,0.0,0.0,0.0
musik,58,0.0126,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0034,0.0
neuzeit,56,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0109,0.0,0.003
quelle,56,0.0,0.0058,0.0001,0.0,0.0087,0.0,0.0,0.0,0.0,0.0
religionsunterricht,56,0.0173,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prägen,54,0.0,0.0,0.0001,0.0,0.0097,0.0,0.0023,0.0,0.0,0.0
sport,54,0.0186,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
früh,52,0.0,0.0,0.0001,0.0,0.0022,0.0,0.0,0.0096,0.0,0.0033
weltanschauung,52,0.0,0.0,0.0001,0.0,0.0011,0.0,0.0124,0.0,0.0,0.0
inklusion,52,0.0,0.0,0.0286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spiel,52,0.0,0.0,0.0001,0.0,0.0,0.0083,0.0,0.0,0.0,0.0
grundlegend,50,0.0,0.0033,0.0001,0.0,0.0,0.0012,0.0094,0.0,0.0,0.0
entstehung,50,0.0,0.0,0.0001,0.0,0.0046,0.0,0.0,0.0102,0.0,0.0014
friedlich,49,0.0,0.0102,0.0019,0.0,0.0,0.0,0.0,0.0015,0.0021,0.0
voraussetzung,49,0.0,0.0044,0.0132,0.0,0.0004,0.0005,0.0013,0.0,0.0,0.0
wertvorstellung,49,0.0,0.0,0.0001,0.0,0.0,0.0,0.0121,0.0,0.0,0.0
englisch,47,0.0145,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erwerb,47,0.0105,0.0,0.0016,0.0047,0.0,0.0,0.0,0.0,0.0,0.0
vergangenheit,46,0.0,0.0,0.0001,0.0,0.0117,0.0,0.0,0.0,0.0,0.0
wesentlich,45,0.0013,0.008,0.0001,0.0,0.0015,0.0,0.0025,0.0,0.0,0.0
verstehen,44,0.0013,0.0016,0.0001,0.0078,0.0,0.0,0.002,0.0,0.0011,0.0
islamisch,44,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0177,0.0,0.0
unterricht,43,0.0051,0.0079,0.0001,0.0,0.0,0.0,0.0011,0.0,0.0,0.0
geprägt,43,0.0,0.0,0.0038,0.0,0.0,0.0,0.0091,0.0,0.0,0.0
bild,43,0.0,0.0,0.0001,0.0,0.0,0.0011,0.0085,0.0,0.0004,0.0
schaffen,43,0.0,0.0,0.0134,0.0,0.0,0.0001,0.0,0.0,0.0036,0.0
beziehen,42,0.0,0.0,0.0001,0.0022,0.0,0.0,0.0,0.0,0.0072,0.0
lehrplan,42,0.0102,0.0,0.0001,0.0,0.0,0.0012,0.0,0.0,0.0,0.0
lebensform,41,0.0,0.0,0.0001,0.0,0.0,0.0015,0.0,0.0096,0.0014,0.0
beschäftigung,40,0.0013,0.0,0.0001,0.0123,0.0,0.0004,0.0,0.0,0.0,0.0
zielen,40,0.0,0.0,0.0001,0.0168,0.0,0.0,0.0,0.0,0.0,0.0
digital,40,0.0,0.0,0.0001,0.0013,0.0,0.0,0.0,0.0007,0.0068,0.0
christlich,39,0.0,0.0,0.0017,0.0,0.0,0.0004,0.0022,0.0094,0.0,0.0004
erziehung,38,0.0,0.0122,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jugend,37,0.0129,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erbe,37,0.0,0.0,0.0001,0.0146,0.0,0.0,0.0,0.0,0.0,0.0
aufbau,36,0.0,0.0,0.0114,0.0,0.0,0.0009,0.0018,0.0,0.0,0.0002
weltbilder,36,0.0,0.0,0.0001,0.0,0.0,0.0,0.0088,0.0,0.0,0.0
latein,36,0.0111,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
verbinden,35,0.0,0.0,0.0001,0.0079,0.0022,0.001,0.0,0.0,0.0,0.0
gesundheit,35,0.0007,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0068,0.0
