topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,3,116,11,0,8,138
2,1,23,296,2,71,393
3,8,50,28,1,26,113
4,5,30,11,1,8,55
5,40,23,25,2,23,113
6,15,30,20,0,18,83
7,2,18,19,0,7,46
8,5,55,43,0,9,112
9,30,63,99,7,94,293
10,0,13,84,0,23,120
