Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
position,interesse,politisch,unterricht,fähigkeit,frage,entscheidung
philosophisch,denkweise,ökonomisch,element,gesellschaft,mensch,formulieren
rahmen,politisch,entwickeln,naturwissenschaftlich,demokratisch,rationalität,vertreten
argumentativ,verhalten,urteilsfähigkeit,fähigkeit,gesellschaftlich,welt,reflektiert
wissenschaft,situation,gesellschaftlich,grundlage,bereitschaft,notwendig,ökologie
welt,reflektieren,begründet,ermöglichen,sozial,voraussetzung,politisch
mensch,perspektive,grundlage,berücksichtigen,wirtschaft,lernen,ökonomie
technik,mensch,maßstab,wesentlich,grundordnung,kompetenz,selbstständig
diskurse,regel,wertbezogen,position,entwickeln,wissenschaftlich,spannungsverhältnis
ethisch,entscheidung,sozial,fakt,human,stellen,nennen
unterricht,sinnvorstellung,sachverhalt,erfolgen,identität,aufgabe,kriterium
vertreten,perspektivwechsel,fähigkeit,politisch,politik,bezug,umsetzungsmöglichkeit
grund,konflikt,toleranz,auszutrag,wirtschaftlich,denken,wirtschaftlich
urteil,vertreten,analyse,kriterium,vertreten,historisch,sinn
problemstellung,austragen,medium,legitim,rechtlich,maß,einnehmen
diskurs,einhalten,schemata,prozeß,ethik,vernunft,begründen
erfassen,zusammenhäng,urteil,strukturiert,freiheitlichdemokratisch,handeln,erwerben
erläutern,gewaltfrei,analysieren,bereitschaft,humanen,religiös,weitgehend
verschieden,rolle,demokratisch,methode,hinaus,wesentlich,widerstand
wesen,simulativ,entwickel,entscheidungsfindung,überzeugung,religion,auseinandersetzung
