term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
wert,1230,0.0499,0.048,0.0002,0.0123,0.0218,0.0729,0.0232,0.0343,0.0433,0.0216,0.0348,0.0282,0.0357,0.0429,0.0626
moralisch,357,0.0376,0.0044,0.0002,0.0038,0.0001,0.024,0.0,0.0,0.0178,0.0,0.0,0.0,0.0,0.0123,0.0001
handeln,338,0.0086,0.0,0.0002,0.0371,0.0001,0.0262,0.0,0.0,0.0021,0.0,0.007,0.0071,0.0,0.0393,0.0001
gesellschaftlich,270,0.0068,0.014,0.0002,0.0,0.0001,0.0048,0.0592,0.0052,0.002,0.0191,0.007,0.0092,0.0,0.0012,0.0051
ethisch,253,0.0125,0.0047,0.0002,0.0114,0.0323,0.0278,0.0,0.0,0.0096,0.0,0.0,0.0077,0.0114,0.0,0.0001
ethik,240,0.0183,0.0,0.0002,0.0,0.0001,0.0065,0.0,0.0071,0.029,0.0,0.002,0.0028,0.0,0.0117,0.0001
regel,189,0.0,0.0,0.0002,0.0,0.0001,0.0063,0.0,0.0,0.0035,0.0,0.0,0.0577,0.0,0.0173,0.0001
sozial,178,0.0078,0.0,0.0002,0.0,0.0001,0.0092,0.0181,0.0341,0.0038,0.0,0.0,0.0,0.0007,0.0,0.0001
frage,175,0.002,0.0,0.0002,0.0,0.0001,0.0048,0.0022,0.018,0.0182,0.0,0.0,0.0059,0.0105,0.0117,0.0001
gesellschaft,171,0.014,0.0121,0.0002,0.0,0.0405,0.0,0.0,0.0153,0.0,0.0078,0.0,0.0006,0.0,0.0057,0.0001
bedeutung,169,0.0118,0.0,0.0002,0.0009,0.0001,0.0032,0.0001,0.0073,0.0068,0.0,0.0062,0.0151,0.0118,0.0043,0.0001
mensch,162,0.0109,0.0045,0.0002,0.0089,0.0001,0.0029,0.0,0.0,0.0036,0.0,0.0,0.0041,0.0005,0.0211,0.0001
verschieden,148,0.0081,0.0021,0.0002,0.0,0.0001,0.003,0.0031,0.0072,0.0053,0.0073,0.0,0.0283,0.0,0.0,0.0001
wertvorstellung,147,0.0014,0.0181,0.0002,0.0,0.0305,0.0103,0.0273,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0001
religiös,140,0.0,0.0,0.0002,0.0081,0.025,0.0,0.0065,0.0,0.0,0.0,0.004,0.0038,0.0376,0.0089,0.0001
leben,132,0.0027,0.0,0.0002,0.0137,0.0001,0.0025,0.0,0.0,0.0142,0.0,0.0023,0.0,0.0,0.0174,0.0001
entscheidung,130,0.0036,0.0092,0.0002,0.0,0.0001,0.0068,0.0,0.003,0.0,0.0321,0.0,0.0038,0.0,0.0,0.0001
religion,126,0.0,0.0045,0.0002,0.0,0.0001,0.0,0.0,0.0077,0.0,0.0,0.0,0.0029,0.0595,0.0022,0.0001
historisch,115,0.0004,0.0139,0.0314,0.0404,0.0001,0.0,0.0095,0.0,0.0,0.0,0.0,0.0051,0.0,0.0,0.0001
politisch,113,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0516,0.0144,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
entwicklung,107,0.0055,0.0001,0.0002,0.0,0.0001,0.0045,0.011,0.0057,0.0,0.0,0.0,0.004,0.0,0.0102,0.0001
unterschiedlich,106,0.0,0.0056,0.0002,0.01,0.0001,0.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0162,0.007,0.0001
gerechtigkeit,106,0.0138,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0044,0.0,0.0,0.0,0.0,0.0115,0.0001
moral,103,0.0099,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0001,0.009,0.0023,0.0,0.0028,0.0,0.0044,0.0182
zusammenleben,102,0.0037,0.0001,0.0002,0.0014,0.0001,0.0,0.0048,0.0085,0.0103,0.0,0.0,0.0149,0.0,0.0006,0.0001
begründen,101,0.0,0.0,0.0002,0.0001,0.0001,0.0176,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0026,0.0001
aufgabe,100,0.0,0.0096,0.0002,0.0,0.0003,0.0018,0.0,0.0076,0.0,0.0,0.0051,0.0205,0.0107,0.0,0.0001
welt,100,0.0036,0.0049,0.0002,0.0,0.0001,0.0,0.0,0.0017,0.0,0.0,0.0,0.0122,0.0001,0.0104,0.0251
sinn,96,0.0,0.0,0.0002,0.0138,0.0001,0.0027,0.0,0.0018,0.0,0.0,0.0048,0.0034,0.007,0.0118,0.0001
wichtig,94,0.0026,0.0,0.0002,0.0001,0.0001,0.0053,0.0,0.0,0.0034,0.0,0.0148,0.0,0.0,0.0053,0.0001
kriterium,93,0.0033,0.0093,0.0002,0.0199,0.0001,0.0,0.0,0.0,0.0,0.0091,0.009,0.0,0.0,0.0,0.0001
freiheit,93,0.0144,0.0,0.0002,0.0,0.0001,0.0012,0.0004,0.0,0.0,0.0,0.0029,0.0,0.0094,0.0,0.0001
bezug,89,0.0,0.0095,0.0002,0.0,0.0001,0.0169,0.0,0.0,0.0,0.0,0.0,0.0018,0.0067,0.0,0.0001
perspektive,88,0.0,0.0,0.0002,0.0211,0.0001,0.004,0.0018,0.0,0.0033,0.0097,0.003,0.0,0.0,0.0039,0.0001
lernen,86,0.0007,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0105,0.0181,0.0,0.0,0.0,0.0134,0.0,0.0001
bne,85,0.0052,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0267,0.0,0.0,0.0,0.0,0.0,0.0027,0.0001
möglichkeit,85,0.0016,0.0144,0.0283,0.0,0.0001,0.0,0.0044,0.0001,0.0059,0.0,0.0057,0.0,0.0,0.0041,0.0001
handlung,82,0.0105,0.0,0.0002,0.0001,0.0001,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
argument,82,0.0,0.0,0.0002,0.0033,0.0001,0.0227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
gewissen,81,0.0064,0.0,0.0002,0.0,0.0001,0.0048,0.0,0.0,0.0023,0.0,0.0,0.0,0.0177,0.0,0.0001
toleranz,81,0.0019,0.0,0.0002,0.0,0.0001,0.0017,0.0,0.007,0.0081,0.0,0.0,0.0,0.0,0.0102,0.0001
auseinandersetzung,78,0.0025,0.0,0.0002,0.0,0.0001,0.0054,0.0,0.0045,0.0,0.0,0.0024,0.0106,0.0,0.0037,0.0001
menschenrecht,78,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0194,0.0089,0.0,0.0,0.0,0.0,0.0041,0.0015
inhalt,76,0.0067,0.0,0.0002,0.0,0.0001,0.0,0.0,0.004,0.0,0.0067,0.0,0.0101,0.0,0.0023,0.0001
sachverhalt,74,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0195,0.0126,0.0,0.0044,0.0,0.0001
verantwortung,72,0.0122,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0024,0.0001
werturteil,72,0.0,0.0,0.0002,0.0536,0.0001,0.0,0.0,0.0,0.0,0.0039,0.0,0.0,0.0,0.0,0.0001
form,72,0.0,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0012,0.0231,0.0,0.0,0.0,0.0,0.008,0.0001
kontext,71,0.0,0.0,0.0599,0.0,0.0001,0.0069,0.0003,0.0,0.0015,0.0,0.0,0.0085,0.0,0.0019,0.0001
folge,71,0.0014,0.005,0.0266,0.0,0.0001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0032,0.0001
demokratisch,70,0.0,0.0111,0.0002,0.0097,0.0143,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,0.0043,0.0021,0.0001
aussage,68,0.0016,0.0,0.0002,0.0,0.0001,0.0128,0.0,0.0,0.0,0.0043,0.0042,0.0,0.0,0.0,0.0001
konflikt,68,0.0,0.0109,0.0002,0.0,0.0001,0.0037,0.0,0.0043,0.0066,0.0,0.0,0.0,0.0,0.0048,0.0001
entscheidungssituation,68,0.0006,0.0,0.0002,0.0051,0.0001,0.0032,0.0,0.0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
rechtlich,67,0.01,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
