term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
verantwortung,561,0.0238,0.0039,0.0288,0.0232,0.0163
mensch,486,0.0218,0.006,0.0257,0.019,0.0104
handeln,328,0.0102,0.0085,0.002,0.0076,0.0146
gerechtigkeit,272,0.013,0.0057,0.0182,0.0034,0.0041
sozial,263,0.0234,0.0068,0.0019,0.0001,0.0058
ethik,231,0.0032,0.0,0.0399,0.0056,0.0019
gesellschaft,210,0.0054,0.0109,0.0014,0.0025,0.0066
politisch,208,0.0033,0.0202,0.0001,0.0015,0.0004
leben,199,0.0007,0.0056,0.0012,0.0027,0.015
wert,198,0.0092,0.0025,0.0014,0.01,0.0075
revolution,179,0.0,0.0169,0.0039,0.0001,0.0
bedeutung,165,0.0051,0.0073,0.0019,0.0034,0.0049
kompetenz,163,0.0072,0.0,0.0048,0.0005,0.0108
beschreiben,162,0.008,0.0038,0.0015,0.0001,0.008
grundlage,157,0.0,0.0081,0.0123,0.0027,0.0017
frage,157,0.0057,0.0038,0.0016,0.0003,0.008
ethisch,153,0.0057,0.0,0.0064,0.0023,0.0092
verschieden,150,0.0058,0.0019,0.0047,0.0001,0.0085
autonomie,144,0.0019,0.0,0.003,0.009,0.0095
begriff,144,0.0099,0.0,0.002,0.0028,0.0062
möglichkeit,139,0.0037,0.0022,0.0001,0.0001,0.011
gesellschaftlich,136,0.0049,0.0021,0.0016,0.0005,0.0095
menschenwürde,130,0.0,0.0,0.0001,0.0017,0.0155
zusammenhang,125,0.0083,0.0,0.004,0.0001,0.0061
französisch,117,0.0,0.0124,0.0001,0.0001,0.0
frei,117,0.0117,0.0027,0.0001,0.003,0.0
welt,116,0.0004,0.004,0.0078,0.0043,0.0023
reflektieren,114,0.0,0.0002,0.0055,0.0022,0.0094
konflikt,109,0.0,0.0072,0.0001,0.0064,0.0021
demokratie,109,0.0,0.0128,0.0001,0.0001,0.0
analysieren,108,0.0077,0.0022,0.0028,0.0001,0.0027
religion,107,0.0,0.0,0.0062,0.0207,0.0
norm,106,0.0022,0.0,0.0001,0.0127,0.0051
gleichheit,103,0.0,0.011,0.0001,0.0001,0.0
diskutieren,102,0.0077,0.0027,0.005,0.0001,0.0002
unterschiedlich,100,0.0046,0.0,0.0022,0.0074,0.0038
willensfreiheit,100,0.0074,0.0,0.0001,0.0001,0.0051
form,99,0.0022,0.0007,0.0012,0.0045,0.0067
menschlich,98,0.0089,0.0,0.0001,0.0015,0.0033
europäisch,93,0.0,0.0095,0.0001,0.0001,0.0
zusammenleben,90,0.0008,0.005,0.0066,0.0021,0.0002
herrschaft,87,0.0013,0.0074,0.0001,0.0001,0.0
rolle,86,0.0033,0.0014,0.0065,0.0044,0.0005
sicherheit,86,0.0012,0.0074,0.0004,0.0001,0.0019
europa,84,0.0,0.0093,0.0001,0.0001,0.0
technik,82,0.0078,0.0014,0.0008,0.0001,0.0005
wille,82,0.0069,0.0,0.0001,0.0001,0.0038
denken,80,0.0001,0.0,0.0012,0.0001,0.0089
deutschland,80,0.0,0.009,0.0001,0.0001,0.0
religiös,78,0.0,0.0,0.0001,0.0182,0.0008
politik,78,0.0,0.0073,0.0001,0.0001,0.0019
demokratisch,75,0.0,0.009,0.0001,0.0001,0.0001
thema,72,0.0,0.0032,0.0072,0.0001,0.001
handlung,71,0.0066,0.0,0.0001,0.0014,0.002
ziel,71,0.0,0.0,0.0001,0.0001,0.0089
staat,68,0.0,0.007,0.0001,0.0001,0.0002
anthropologie,66,0.0,0.0,0.01,0.0066,0.0
sinn,66,0.0,0.0008,0.0004,0.0001,0.0069
bedürfnis,66,0.0075,0.0007,0.0001,0.0012,0.0009
fach,65,0.0,0.0,0.0001,0.0081,0.0044
allgemein,64,0.0018,0.0,0.0077,0.0001,0.0025
frieden,64,0.0,0.0071,0.0001,0.0001,0.0
ökonomisch,62,0.0075,0.0011,0.0012,0.0001,0.0004
gott,57,0.0,0.0001,0.0001,0.015,0.0
pflicht,57,0.0,0.0,0.0001,0.0001,0.0069
gewissen,56,0.0,0.0,0.0001,0.0143,0.0
moral,55,0.0,0.0,0.0069,0.0001,0.0029
angewandte,54,0.0,0.0,0.0125,0.0001,0.0
bildung,50,0.0,0.0023,0.0067,0.0006,0.0
selbstverständnis,49,0.0,0.0,0.0106,0.0008,0.0003
moralphilosophie,45,0.0,0.0,0.0093,0.0001,0.0005
vergleich,44,0.0009,0.0,0.0076,0.0001,0.0009
rev,41,0.0,0.0007,0.0001,0.0098,0.0
kommunikation,41,0.0,0.0004,0.0011,0.0101,0.0
weltanschauung,41,0.0,0.0,0.0001,0.0103,0.0
kritik,39,0.0012,0.0,0.007,0.0001,0.0
rrk,32,0.0,0.0,0.0001,0.0087,0.0
utilitarismus,32,0.0,0.0,0.0075,0.0001,0.0
verbindlich,30,0.0,0.0005,0.0001,0.0067,0.0
pflichtethik,30,0.0,0.0,0.007,0.0001,0.0
kirche,29,0.0,0.0,0.0001,0.0078,0.0
philosophie,29,0.0003,0.0,0.0001,0.0067,0.0002
reflexionsbereich,26,0.0,0.0,0.0001,0.0068,0.0
