subject,-1_einsatz_gottes_kompetenzerwartungen_frage,0_propheten_verhltnisse_gott_menschen,1_gott_gottes_zivilcourage_menschen,2_begriffe_zivilcourage_ggf_ber,3_knnen_soziale_beurteilen_kompetenzen,entropy,subject_total,subject_proportion
Bio,0.0426,0.1489,0.1702,0.0426,0.5957,1.6768,47,0.0501
"Ethik, Philo",0.0051,0.0119,0.0136,0.0272,0.9423,0.4212,589,0.6273
Geschichte,0.0357,0.0,0.0,0.0,0.9643,0.2223,28,0.0298
"Psychologie, Gesundheit",0.0,0.0,0.0,0.0,1.0,0.0,3,0.0032
Sozialkunde,0.0074,0.0257,0.0294,0.0074,0.9301,0.4869,272,0.2897
TOTAL,0.0085,0.0224,0.0256,0.0213,0.9223,0.5424,939,1.0
