topic_name,Bio,"Ethik, Philo",Geschichte,"Psychologie, Gesundheit",Sozialkunde,entropy,topic_total,topic_proportion
-1_einsatz_gottes_kompetenzerwartungen_frage,0.25,0.375,0.125,0.0,0.25,1.9056,8,0.0085
0_propheten_verhltnisse_gott_menschen,0.3333,0.3333,0.0,0.0,0.3333,1.585,21,0.0224
1_gott_gottes_zivilcourage_menschen,0.3333,0.3333,0.0,0.0,0.3333,1.585,24,0.0256
2_begriffe_zivilcourage_ggf_ber,0.1,0.8,0.0,0.0,0.1,0.9219,20,0.0213
3_knnen_soziale_beurteilen_kompetenzen,0.0323,0.6409,0.0312,0.0035,0.2921,1.2744,866,0.9223
TOTAL,0.0501,0.6273,0.0298,0.0032,0.2897,1.3337,939,1.0
