subject,-1_eigene_reflektieren_verhaltensweisen_zeigen,0_verhaltensweisen_menschen_verhaltens_beschreiben,1_gehen_positiven_analysieren_kompetenzen,2_kenntnissen_ableiten_regeln_verweise,3_gesundheit_gesundheitsfrderung_ernhrung_gesunde,4_musik_nutzen_unterscheiden_anzuwenden,5_erklrungen_beziehen_ultimate_phnomen,6_situationsangemessen_verhalten situationsangemessen_bewusst_persnlichen,7_sollen_eigenen_fhigkeiten_lernen,8_ggf_gestalten_arbeitstechniken_tolerant,9_nachdenken_werteerziehung_wesentliche_etwa,entropy,subject_total,subject_proportion
Bio,0.1786,0.6012,0.1265,0.0179,0.0179,0.0104,0.0223,0.0089,0.0045,0.0074,0.0045,1.844,672,0.3773
"Ethik, Philo",0.2582,0.3533,0.2473,0.0353,0.0082,0.019,0.0082,0.0163,0.0082,0.0136,0.0326,2.3241,368,0.2066
Geschichte,0.2093,0.4419,0.0698,0.2093,0.0,0.0,0.0,0.0,0.0698,0.0,0.0,2.0012,43,0.0241
"Psychologie, Gesundheit",0.1004,0.8476,0.0149,0.0,0.0186,0.0037,0.0037,0.0,0.0074,0.0037,0.0,0.8748,269,0.151
Sozialkunde,0.2308,0.4382,0.2051,0.0326,0.0117,0.0186,0.007,0.0163,0.0163,0.0163,0.007,2.2125,429,0.2409
TOTAL,0.1965,0.5441,0.1522,0.027,0.014,0.0129,0.0124,0.0107,0.0101,0.0101,0.0101,2.0095,1781,1.0
