subject,-1_eth_einheit_eth freiheit_einheit freiheit,0_digitalisierung_identifizieren_digitale_einbeziehen,1_ethik_freiheit verantwortung_autonomie_mensch,2_technik_natur_umgangs_mensch,3_ziel_erreicht_gesichtspunkten_unterricht,4_demokratischen_grundordnung_demokratischer_historische,5_marktwirtschaft_sozialen_ausgleich_soziale,6_politik_menschenwrde freiheit_grundlagen_solidaritt,7_europischen_europa_strukturierende_strukturierende aspekte,8_fhrt_revolution_lernenden_kmpfen menschen,9_revolution_franzsischen_franzsischen revolution_brgertum,entropy,subject_total,subject_proportion
Bio,0.68,0.12,0.04,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.5142,25,0.0202
"Ethik, Philo",0.0815,0.0298,0.8266,0.0259,0.0194,0.0091,0.0052,0.0,0.0013,0.0,0.0013,1.0451,773,0.6254
Geschichte,0.3527,0.0145,0.0725,0.0,0.0435,0.1111,0.0,0.0193,0.1691,0.0773,0.1401,2.6684,207,0.1675
Psychologie,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.004
Sozialkunde,0.2611,0.0354,0.0841,0.0,0.0265,0.115,0.1239,0.2478,0.0575,0.0,0.0487,2.7959,226,0.1828
TOTAL,0.1715,0.0299,0.5494,0.0178,0.0259,0.0453,0.0259,0.0485,0.0396,0.0129,0.0332,2.2819,1236,1.0
