,Topic -1 terms,Topic -1 probabilities,Topic 0 terms,Topic 0 probabilities,Topic 1 terms,Topic 1 probabilities,Topic 2 terms,Topic 2 probabilities,Topic 3 terms,Topic 3 probabilities,Topic 4 terms,Topic 4 probabilities,Topic 5 terms,Topic 5 probabilities,Topic 6 terms,Topic 6 probabilities,Topic 7 terms,Topic 7 probabilities,Topic 8 terms,Topic 8 probabilities,Topic 9 terms,Topic 9 probabilities
0,eth,0.0373,digitalisierung,0.1035,ethik,0.0432,technik,0.4313,ziel,0.0954,demokratischen,0.0581,marktwirtschaft,0.202,politik,0.1047,europischen,0.0806,fhrt,0.19,revolution,0.1909
1,einheit,0.0332,identifizieren,0.0708,freiheit verantwortung,0.0349,natur,0.1789,erreicht,0.077,grundordnung,0.051,sozialen,0.1385,menschenwrde freiheit,0.0934,europa,0.0621,revolution,0.1167,franzsischen,0.1301
2,eth freiheit,0.0323,digitale,0.0697,autonomie,0.0313,umgangs,0.0902,gesichtspunkten,0.0754,demokratischer,0.0318,ausgleich,0.0855,grundlagen,0.0832,strukturierende,0.0542,lernenden,0.1032,franzsischen revolution,0.1283
3,einheit freiheit,0.0273,einbeziehen,0.0601,mensch,0.0304,mensch,0.0896,unterricht,0.0744,historische,0.0318,soziale,0.0712,solidaritt,0.0824,strukturierende aspekte,0.0542,kmpfen menschen,0.1019,brgertum,0.07
4,kommunikation,0.0244,leitperspektive,0.0579,handelns,0.0252,nachhaltigen,0.0888,schule,0.0734,grundgesetz,0.0308,sozialer,0.0546,menschenwrde,0.076,freiheit herrschaft,0.0525,franzsische revolution,0.0992,revolution brgertum,0.0684
5,revolution,0.0236,beitrag,0.0561,eigene,0.022,verantwortungsvollen,0.0881,pluralistischen,0.073,demokratischen grundordnung,0.0305,deutschland,0.0525,gleichheit,0.0759,wahlmodul,0.0501,franzsische,0.0987,franzsische revolution,0.0657
6,streben,0.0232,digitalen,0.0534,glck,0.0218,verhltnis,0.0818,fach,0.0644,geschichte,0.0297,konomischer,0.0523,politischen,0.0738,theoriebezug perspektive,0.0485,warum,0.0973,franzsische,0.0653
7,achtung,0.0212,konflikte,0.052,eigenen,0.0216,zeit,0.07,befhigt,0.0599,freiheit gleichheit,0.0287,bundesrepublik deutschland,0.0502,freiheit gleichheit,0.0726,theoriebezug,0.0485,kompetenzen lernenden,0.0875,freiheit gleichheit,0.0608
8,anspruch,0.0199,beitrag leitperspektive,0.0503,reflektieren,0.0197,verfahren,0.0676,toleranz,0.0597,grundlage,0.0287,wirtschaftlicher,0.0501,gleichheit solidaritt,0.0635,dimensionen,0.0484,kmpfen,0.0872,gleichheit,0.0584
9,erlutern,0.0194,konomischer,0.047,welt,0.0191,fllen,0.0666,daher,0.0575,demokratische,0.0286,bundesrepublik,0.0459,normative,0.0635,perspektive,0.0458,historische,0.0811,europa,0.0581
10,recht,0.0185,welt,0.0461,rolle,0.0188,beurteilung,0.0648,guten gerechten,0.0556,republik,0.0286,freiheit sozialer,0.0453,versus,0.0535,politikgeschichte,0.0437,franzsischen,0.0786,verfassung,0.0555
11,erklren,0.0182,individueller,0.0447,begriffe,0.0185,funktionen,0.0624,unterricht fach,0.0548,fhigkeit,0.0285,erlutern,0.0438,verschiedene,0.0373,europische,0.0426,menschen freiheit,0.0775,grundrechte,0.0466
12,wiener,0.018,frage,0.0441,normen,0.0184,mgliche,0.0576,persnliche,0.0532,menschenrechte,0.0283,sicherung,0.0396,kategorien,0.0344,kultur ideengeschichte,0.0416,gefrdert,0.0773,gegenwart,0.0448
13,rev,0.018,sowohl,0.0416,allgemeine,0.018,aspekten,0.0546,frieden,0.0516,entwickeln,0.0276,markt,0.0395,zusammenlebens,0.0339,europas,0.0416,kontinuitt,0.0722,vernunft freiheit,0.0445
14,problem,0.0179,dabei,0.041,zusammenhang,0.0179,untersuchen,0.0531,vorgaben,0.0511,gleichheit,0.0276,konomische,0.0366,urteilskompetenz,0.0318,ideengeschichte,0.0396,franzsischen revolution,0.0661,brgertum vernunft,0.0444
15,gesellschaftlichen,0.0177,knnen aspekte,0.0392,freiheit freiheit,0.0178,schutz,0.0528,pluralitt,0.0502,freiheitlichen demokratischen,0.0272,spannungsverhltnis,0.0342,ordnung,0.0313,deutschland,0.038,vernderung zeit,0.0657,ursachen,0.0393
16,rrk,0.0172,freiheit einzelnen,0.038,vernunft,0.0177,fhigkeit,0.051,schulen,0.0499,werturteil,0.0272,leistungskurs,0.0327,bundesrepublik,0.0304,union,0.038,untersuchung,0.0657,nationalstaat,0.0385
17,wiener kongress,0.0171,medien,0.0377,willens,0.0177,abgrenzung,0.0497,gerechten,0.0492,weimarer,0.0272,soziale marktwirtschaft,0.0324,gleichheit gerechtigkeit,0.0301,europisch,0.0369,analyse,0.0654,kirche,0.0377
18,kongress,0.0171,generationen,0.037,menschenwrde,0.0176,entwickeln,0.0494,pluralistischen gesellschaft,0.0489,grundwerte,0.0269,gter,0.0324,frieden,0.0287,europisch strukturierende,0.0369,vernderung,0.0639,methodenkompetenz,0.037
19,teilhabe,0.0165,rahmen,0.0369,allgemeine ethik,0.0176,aspekte freiheit,0.0481,sollen,0.0459,freiheitlichen,0.0266,grundzgen,0.0317,grundgesetzes,0.0283,kultur,0.0359,folgen,0.0635,friedliches,0.037
