topic_name,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,entropy,topic_total,topic_proportion
-1_eth_einheit_eth freiheit_einheit freiheit,0.0802,0.2972,0.3443,0.0,0.2783,1.8553,212,0.1715
0_digitalisierung_identifizieren_digitale_einbeziehen,0.0811,0.6216,0.0811,0.0,0.2162,1.4918,37,0.0299
1_ethik_freiheit verantwortung_autonomie_mensch,0.0015,0.9411,0.0221,0.0074,0.028,0.4143,679,0.5494
2_technik_natur_umgangs_mensch,0.0909,0.9091,0.0,0.0,0.0,0.4395,22,0.0178
3_ziel_erreicht_gesichtspunkten_unterricht,0.0625,0.4688,0.2812,0.0,0.1875,1.7299,32,0.0259
4_demokratischen_grundordnung_demokratischer_historische,0.0,0.125,0.4107,0.0,0.4643,1.4162,56,0.0453
5_marktwirtschaft_sozialen_ausgleich_soziale,0.0,0.125,0.0,0.0,0.875,0.5436,32,0.0259
6_politik_menschenwrde freiheit_grundlagen_solidaritt,0.0,0.0,0.0667,0.0,0.9333,0.3534,60,0.0485
7_europischen_europa_strukturierende_strukturierende aspekte,0.0,0.0204,0.7143,0.0,0.2653,0.9692,49,0.0396
8_fhrt_revolution_lernenden_kmpfen menschen,0.0,0.0,1.0,0.0,0.0,0.0,16,0.0129
9_revolution_franzsischen_franzsischen revolution_brgertum,0.0,0.0244,0.7073,0.0,0.2683,0.9933,41,0.0332
TOTAL,0.0202,0.6254,0.1675,0.004,0.1828,1.4494,1236,1.0
