term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
perspektivenübernahme,16,0.0012,0.0005,0.0249,0.001,0.0002,0.0002,0.0059,0.0004,0.0018,0.0095
entwicklung,15,0.0013,0.0005,0.0003,0.001,0.0002,0.0259,0.0002,0.0005,0.0018,0.0122
gruppe,15,0.0012,0.0005,0.0292,0.001,0.0002,0.0002,0.0002,0.0005,0.0018,0.0003
kulturell,15,0.0012,0.0005,0.0003,0.0011,0.0002,0.0301,0.0002,0.0005,0.0017,0.0074
realität,15,0.0012,0.0005,0.0273,0.001,0.0002,0.0002,0.0002,0.0004,0.0018,0.0019
sozialkompetenz,15,0.0012,0.0005,0.0347,0.001,0.0002,0.0002,0.0002,0.0005,0.0018,0.0073
anteil,14,0.0012,0.0005,0.0272,0.001,0.0002,0.0002,0.0002,0.0005,0.0018,0.0007
bereitschaft,14,0.0012,0.0158,0.0003,0.0013,0.0002,0.0227,0.0056,0.0005,0.0018,0.0002
grenze,14,0.0012,0.0005,0.0003,0.0109,0.0002,0.0002,0.0098,0.0005,0.0018,0.0085
haltung,14,0.0012,0.022,0.0003,0.001,0.0002,0.0002,0.0055,0.0004,0.0017,0.0002
kennen,14,0.0012,0.0005,0.0003,0.001,0.0002,0.0063,0.0002,0.0258,0.0022,0.0084
politisch,14,0.0012,0.0005,0.0003,0.0108,0.0002,0.0032,0.0166,0.0005,0.0017,0.043
ermöglichen,13,0.0498,0.0005,0.0003,0.001,0.0002,0.0002,0.011,0.0004,0.0017,0.0041
geschichte,13,0.0012,0.0006,0.0003,0.001,0.0002,0.0002,0.0002,0.0254,0.0019,0.0027
lage,13,0.0012,0.0005,0.0253,0.001,0.0002,0.0002,0.0002,0.0004,0.0018,0.0011
medium,13,0.0012,0.0005,0.0003,0.0059,0.0002,0.0002,0.0002,0.0099,0.0017,0.0275
sinn,13,0.0012,0.0175,0.0003,0.0014,0.0002,0.0119,0.0002,0.0004,0.0017,0.0002
interpretation,12,0.0012,0.0005,0.0249,0.001,0.0002,0.0002,0.0002,0.0005,0.0018,0.0002
konzentrationsbereitschaft,12,0.0012,0.0005,0.0249,0.001,0.0002,0.0002,0.0002,0.0004,0.0018,0.0002
respektieren,12,0.0012,0.0005,0.0249,0.001,0.0002,0.0002,0.0002,0.0005,0.0018,0.0002
stellenwert,12,0.0012,0.0005,0.0249,0.001,0.0002,0.0002,0.0002,0.0005,0.0018,0.0002
gehören,11,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0152,0.0005,0.0018,0.0003
setzen,11,0.0012,0.0133,0.0003,0.001,0.0002,0.0002,0.0004,0.0244,0.0017,0.0003
sowohl,11,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0104,0.0227,0.0017,0.0003
verantwortungsbewusst,11,0.0012,0.0286,0.0003,0.001,0.0002,0.0002,0.0002,0.0005,0.0017,0.0002
wertvorstellung,11,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0149,0.0227,0.0017,0.0003
bedeutung,10,0.0012,0.0005,0.0003,0.0199,0.0002,0.0065,0.0058,0.0005,0.0349,0.0002
identität,10,0.0703,0.0005,0.0003,0.0009,0.0002,0.0063,0.0041,0.0073,0.0017,0.0003
moralisch,10,0.0012,0.0005,0.0003,0.0402,0.0002,0.0002,0.0002,0.0005,0.0194,0.0003
motiv,10,0.0012,0.0005,0.0003,0.0501,0.0002,0.0002,0.0002,0.0004,0.0021,0.0002
problem,10,0.0012,0.0005,0.0003,0.0011,0.0002,0.0144,0.0002,0.0236,0.0018,0.001
struktur,10,0.0012,0.0005,0.0003,0.001,0.0002,0.0173,0.0076,0.0011,0.0017,0.0003
verständigen,10,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0143,0.0005,0.0017,0.0002
auseinandersetzung,9,0.0012,0.0109,0.0004,0.0025,0.0003,0.0003,0.0002,0.0005,0.0124,0.0042
beispiel,9,0.0012,0.0005,0.0003,0.0454,0.0002,0.0002,0.0002,0.0005,0.0017,0.0002
folge,9,0.0012,0.0005,0.0003,0.0402,0.0002,0.0002,0.0002,0.0005,0.0018,0.0074
positionieren,9,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0028,0.0018,0.0276
stehen,9,0.0729,0.0005,0.0003,0.0039,0.0002,0.0022,0.0042,0.0005,0.0017,0.0003
thema,9,0.0012,0.0005,0.0013,0.001,0.0002,0.0067,0.0004,0.0265,0.0018,0.0003
wahlbereich,9,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0006,0.0017,0.0347
angst,8,0.0012,0.0005,0.0003,0.0201,0.0002,0.0002,0.0002,0.0095,0.0017,0.0004
aspekt,8,0.0012,0.0181,0.0003,0.001,0.0002,0.0003,0.0002,0.0005,0.0017,0.0015
bildung,8,0.0013,0.0005,0.0003,0.0059,0.0002,0.0002,0.0002,0.0004,0.0018,0.0147
einsetzen,8,0.0012,0.0005,0.0003,0.001,0.0002,0.0034,0.0002,0.0227,0.0017,0.0003
einsicht,8,0.0012,0.0183,0.0003,0.0059,0.0002,0.0002,0.0002,0.0005,0.0017,0.0003
freiheitlich,8,0.0361,0.0005,0.0003,0.001,0.0002,0.0002,0.0204,0.0005,0.0018,0.0002
gefühl,8,0.0012,0.0005,0.0013,0.0332,0.0002,0.0061,0.0002,0.0005,0.0017,0.0002
gerechtigkeit,8,0.0012,0.0005,0.0003,0.0108,0.0002,0.0002,0.005,0.0005,0.0106,0.0002
grundordnung,8,0.0361,0.0005,0.0003,0.001,0.0002,0.0002,0.0204,0.0005,0.0017,0.0002
kommunikation,8,0.0013,0.0005,0.0003,0.001,0.0002,0.0002,0.0002,0.0004,0.0017,0.016
norm,8,0.0012,0.0158,0.0003,0.001,0.0002,0.0002,0.0002,0.0005,0.0194,0.0002
politik,8,0.0012,0.0005,0.0003,0.0038,0.0002,0.0249,0.0002,0.0074,0.0018,0.0003
unterscheiden,8,0.0012,0.0181,0.0003,0.001,0.0002,0.0064,0.0002,0.0005,0.0017,0.0002
