Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
gegenwart,iii,frage,europa,handeln,arbeit,thema,politisch,deutschland,gestaltung
historisch,ethik,anlage,europäisch,blick,leben,mensch,entwicklung,lernende,reflektieren
geschichte,bezug,text,demokratie,sozial,frage,bedeutung,gesellschaftlich,natur,beruflich
mensch,friedlich,strategie,gesellschaft,gegenwart,sozial,menschlich,problem,verantwortung,frage
vergangenheit,brücke,geschehen,politisch,grundlage,beschreiben,vergangenheit,ökonomisch,bildung,leben
orientierung,kompetenz,designermöbel,herausforderung,denken,kompetenz,leben,ökologisch,seite,entwickeln
gestaltung,leer,gmbh,welt,ökonomisch,möglich,ziel,herausforderung,endlichkeit,risiko
fach,bleiben,wirklichkeit,leben,entwickeln,schuljahrgang,gegenwart,fördern,international,vorstellung
lernen,gerechtigkeit,ethik,international,grenze,rolle,beschäftigung,sozial,umwelt,erhalten
geschichtsbewusstsein,fachinterne,sehen,entwicklung,persönlich,form,unterricht,wirtschaftlich,phase,mensch
aktuell,wissenschaft,markt,frieden,frage,kriterium,bezug,nachhaltig,revolution,hoffnung
reflektieren,wert,religiös,sozial,beziehen,inhalt,bewusst,fach,religiös,relevant
fähigkeit,wandel,form,lernen,verschieden,misserfolg,gesellschaftlich,gegenwart,aufgabe,analysieren
erkenntnis,bilden,allgemein,deutschland,sprache,umgang,orientierung,zukünftig,prüflinge,befürchtung
politisch,beitrag,auseinandersetzung,politik,prinzip,glück,geschichte,entwickeln,arbeit,anforderung
einsicht,basis,analyse,sozialstaat,eignen,mensch,welt,digitalisierung,globalisierung,privat
zusammenhang,gestaltung,bestehen,wirtschaft,entscheidung,erläutern,sinn,komplex,situation,chance
ereignis,teilhabe,zeitung,gemeinsam,dimension,umwelt,wichtig,handeln,chance,finden
verständnis,allgemein,eingeschlagen,handeln,positiv,darstellung,verändert,veränderung,frankfurt,handlungsspielraum
geschichtlich,auftrag,kürzen,inhalt,didaktisch,persönlich,verschieden,chance,freiheit,spannungsfeld
