term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
grundlage,42,0.0,0.0002,0.0002,0.0029,0.0219,0.0038,0.0001,0.0038,0.0002,0.0001
wirtschaft,40,0.0,0.0001,0.0002,0.0095,0.0003,0.0001,0.0011,0.0073,0.0002,0.0001
iii,40,0.0,0.0342,0.0002,0.0007,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
darstellung,37,0.0074,0.0001,0.0002,0.0,0.0001,0.0096,0.0001,0.0001,0.0002,0.0001
geschichtsbewusstsein,37,0.0102,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0038
zusammenhang,37,0.0078,0.001,0.0002,0.0005,0.0001,0.0001,0.0028,0.0001,0.0002,0.0059
gerechtigkeit,36,0.0,0.0182,0.0002,0.0055,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
verständnis,35,0.0076,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0062,0.0002,0.0001
lernende,35,0.0,0.0001,0.0002,0.0051,0.0001,0.0001,0.0028,0.0001,0.0245,0.0001
analysieren,34,0.0015,0.0001,0.0002,0.0,0.0001,0.0074,0.0001,0.0008,0.0043,0.015
aufgabe,34,0.0037,0.0001,0.0002,0.0051,0.0001,0.0001,0.0001,0.0001,0.0131,0.0001
blick,34,0.0,0.0001,0.0002,0.001,0.0251,0.0001,0.003,0.0001,0.0002,0.0001
umwelt,34,0.0,0.0001,0.0002,0.0,0.0001,0.0103,0.0001,0.002,0.0153,0.0062
grenze,33,0.0,0.0001,0.0002,0.0058,0.0159,0.0001,0.0001,0.0001,0.0019,0.0001
hoffnung,32,0.0011,0.0033,0.0002,0.0,0.0068,0.0001,0.0001,0.0001,0.0016,0.0158
freiheit,31,0.0,0.0001,0.0002,0.0071,0.0028,0.0001,0.0001,0.0001,0.0109,0.0001
ziel,31,0.0,0.0021,0.0002,0.0,0.0001,0.0001,0.013,0.0001,0.0016,0.0063
globalisierung,31,0.0001,0.0001,0.0002,0.0069,0.0001,0.0001,0.0002,0.004,0.0116,0.0001
schuljahrgang,30,0.0,0.0001,0.0002,0.0,0.0001,0.0155,0.0001,0.0001,0.0101,0.0001
einsicht,30,0.0078,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.005
zukünftig,30,0.0,0.0001,0.0002,0.0,0.0058,0.0001,0.0001,0.0127,0.0002,0.0011
natur,29,0.0,0.0001,0.0002,0.0002,0.0001,0.0056,0.0033,0.0001,0.0217,0.0001
persönlich,29,0.0,0.0001,0.0002,0.0,0.0152,0.0094,0.0001,0.0001,0.0003,0.0001
friedlich,29,0.0,0.0247,0.0002,0.0005,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
beruflich,28,0.0,0.0001,0.0002,0.0,0.0001,0.0002,0.0001,0.0001,0.0002,0.0297
fördern,28,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0154,0.0002,0.0001
sozialstaat,27,0.0,0.0001,0.0002,0.0098,0.0001,0.0001,0.0009,0.0001,0.0002,0.0001
erkenntnis,27,0.0083,0.0004,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
vorstellung,27,0.0,0.0001,0.0002,0.0,0.0001,0.0034,0.0015,0.0011,0.0002,0.0177
wert,27,0.0,0.0164,0.0002,0.0034,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
gemeinsam,27,0.0,0.0001,0.0002,0.0094,0.0021,0.0001,0.0001,0.0002,0.0002,0.0001
allgemein,26,0.0,0.0131,0.018,0.0012,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
beschreiben,26,0.0,0.0001,0.0002,0.0,0.0001,0.0184,0.0001,0.0001,0.0002,0.0001
bewusst,26,0.0,0.0001,0.0002,0.0,0.0056,0.0001,0.0107,0.0001,0.0002,0.0033
erläutern,26,0.0034,0.0001,0.0002,0.0004,0.0001,0.0104,0.0001,0.0001,0.0016,0.0001
form,26,0.0,0.0001,0.0185,0.0,0.0001,0.0133,0.0001,0.0001,0.0002,0.0001
bleiben,25,0.0006,0.0185,0.0002,0.0008,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
ereignis,25,0.0076,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
erhalten,25,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0044,0.0002,0.0168
geschichtlich,25,0.0075,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
brücke,24,0.0,0.0215,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
misserfolg,23,0.0,0.0001,0.0002,0.0,0.0001,0.0119,0.0001,0.0001,0.0002,0.0049
beschäftigung,23,0.0,0.0001,0.0002,0.001,0.0001,0.0001,0.0118,0.0001,0.0017,0.0001
entscheidung,23,0.0,0.0001,0.0002,0.0,0.0115,0.0076,0.0014,0.0001,0.0003,0.0001
veränderung,23,0.0001,0.0001,0.0002,0.0012,0.0001,0.0024,0.0001,0.0091,0.0002,0.0002
komplex,23,0.0001,0.0001,0.0002,0.0013,0.0001,0.0001,0.0001,0.011,0.0002,0.0001
risiko,22,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0023,0.0002,0.0182
dimension,22,0.0014,0.0001,0.0002,0.0016,0.0113,0.0001,0.0001,0.0011,0.0002,0.0001
wissenschaft,22,0.0,0.0174,0.0002,0.0,0.0001,0.0001,0.0011,0.0005,0.0002,0.0001
digitalisierung,21,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0122,0.0002,0.0001
glück,21,0.0,0.0001,0.0002,0.0,0.0001,0.0106,0.0001,0.0001,0.0072,0.0001
kriterium,21,0.001,0.0001,0.0002,0.0,0.0001,0.0132,0.0001,0.0001,0.0002,0.0001
leer,21,0.0,0.0186,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
anforderung,20,0.0,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0033,0.0002,0.0142
fachinterne,20,0.0,0.0178,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
finden,20,0.0023,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0001,0.0002,0.013
basis,19,0.0,0.0137,0.0002,0.0,0.0001,0.0001,0.003,0.0001,0.0002,0.0001
beziehen,19,0.0,0.0001,0.0002,0.0,0.0141,0.0001,0.0025,0.0001,0.0002,0.0001
