document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,2,0.6650434641657871,"Telefax -- www.schulministerium.nrw poststellemsb.nrw.de Vorwort Liebe Leserinnen und Leser, ein wesentlicher Bestandteil des Bildungsauftrags der Schulen ist es, unsere Schülerinnen und Schüler zur gesellschaftlichen Teilhabe und zur selbstbestimmten Gestaltung ihrer Zukunft zu befähigen. Die Basis hierfür bilden die Unterrichtsvorgaben. Sie sind auch Grundlage für die Gestaltung eines Unterrichts, der zur allgemeinen Bildung beiträgt und auf die Berufsund Arbeitswelt oder auf die",NRW,,Sek1,2024.0,"Ethik, Philo"
1,4,0.8301878385756042,einer globalisierten und komplexen Welt werden in Beziehung zu lokalem Handeln gesetzt. Dabei wird die eigene Rolle in unterschiedlichen Strukturen des Zusammenlebens in den Blick genommen. Inhaltsfeld : Gegenwart und Zukunft Dieses Inhaltsfeld greift das Spannungsverhältnis von Gegenwart und Zukunft auf. Dabei stehen das menschliche Handeln und die damit verbundene Verantwortung des Menschen für sich und die Welt im Fokus. Krieg,NRW,,Sek1,2024.0,"Ethik, Philo"
2,4,0.7719036246536415,"lokalem Handeln gesetzt. Dabei wird die eigene Rolle in unterschiedlichen Strukturen des Zusammenlebens in den Blick genommen. Inhaltsfeld : Gegenwart und Zukunft Dieses Inhaltsfeld greift das Spannungsverhältnis von Gegenwart und Zukunft auf. Dabei stehen das menschliche Handeln und die damit verbundene Verantwortung des Menschen für sich und die Welt im Fokus. Krieg und Frieden, Konsumgewohnheiten und Konsumverantwortung sowie ökologische Krisen werden",NRW,,Sek1,2024.0,"Ethik, Philo"
3,2,0.7262960039746064,"der Schülerinnen und Schüler sollen im Rahmen der Behandlung der nachfolgenden obligatorischen Inhaltsfelder entwickelt werden: . Das Selbst . Zwischenmenschliche Beziehungen . Verantwortung . Strukturen des Zusammenlebens . Gegenwart und Zukunft . Sinnsuche und Lebensentwürfe . Menschliche Erkenntnis Bezieht man übergeordnete Kompetenzerwartungen sowie die unten aufgeführten inhaltlichen Schwerpunkte aufeinander, so ergeben sich die nachfolgenden konkretisierten Kompetenzerwartungen: Inhaltsfeld : Das Selbst Inhaltlicher",NRW,,Sek1,2024.0,"Ethik, Philo"
4,1,0.4366935781273076,"für sich selbst und für ein gerechtes Miteinander. Urteilskompetenz Die Schülerinnen und Schüler bewerten unterschiedliche Prinzipien von Gerechtigkeit, beurteilen Verhalten und Handlungen unter Berücksichtigung unterschiedlicher Gerechtigkeitsvorstellungen. Inhaltsfeld : Gegenwart und Zukunft Inhaltlicher Schwerpunkt: - Nachhaltiges Leben und Lernen Sachkompetenz Die Schülerinnen und Schüler erläutern die Bedeutung kritischen Denkens sowie der Verantwortungsübernahme für Lernprozesse, überprüfen ihr alltägliches Verhalten als Konsumentin und Konsument,",NRW,,Sek1,2024.0,"Ethik, Philo"
5,6,0.38214022916314777,"in einer pluralen Welt, erläutern Wahrnehmungs- und Erkenntnisprozesse auch im Hinblick auf den Einfluss und den Umgang mit Medien, erläutern Konzepte von Nachhaltigkeit, reflektieren Chancen und Grenzen der Gestaltung von Zukunft. Methodenkompetenz Die Schülerinnen und Schüler erschließen Kernaussagen und Grundgedanken einfacher diskursiver und präsentativer Materialien mit philosophischem Gehalt, recherchieren in analogen und digitalen Materialien Informationen und Begriffe für den philosophischen Diskurs,",NRW,,Sek1,2024.0,"Ethik, Philo"
6,2,0.7262960039746064,"der Schülerinnen und Schüler sollen im Rahmen der Behandlung der nachfolgenden obligatorischen Inhaltsfelder entwickelt werden: . Das Selbst . Zwischenmenschliche Beziehungen . Verantwortung . Strukturen des Zusammenlebens . Gegenwart und Zukunft . Sinnsuche und Lebensentwürfe . Menschliche Erkenntnis Bezieht man übergeordnete Kompetenzerwartungen sowie die unten aufgeführten inhaltlichen Schwerpunkte aufeinander, so ergeben sich die nachfolgenden konkretisierten Kompetenzerwartungen: Inhaltsfeld : Das Selbst Inhaltliche",NRW,,Sek1,2024.0,"Ethik, Philo"
7,4,0.7693912716360809,"demokratischen Gesellschaft, beurteilen gesellschaftliche Probleme hinsichtlich ethischer Aspekte, beurteilen Freiheitsrechte und deren mögliche Grenzen und Gefährdungen, beurteilen Gerechtigkeitsgrundsätze, reflektieren das Verhältnis von Recht, Gerechtigkeit und Staat. Inhaltsfeld : Gegenwart und Zukunft Inhaltliche Schwerpunkte: - Utopien und ihre Funktion - Friedenskonzepte - Nachhaltige Entwicklung Sachkompetenz Die Schülerinnen und Schüler erläutern Wirkungen von Utopien und Dystopien, benennen Krisenphänomene der Welt und deren Auswirkungen",NRW,,Sek1,2024.0,"Ethik, Philo"
8,8,0.9689638701992416,"auch mit gesellschaftlich-globalen Problemfeldern bei und fördert dadurch die Persönlichkeitsentwicklung der Schülerinnen und Schüler. Diese sollen ein die eigene Persönlichkeit bejahendes und stabiles Ich entwickeln, das sich in Gegenwart und Zukunft den zwischenmenschlichen und gesellschaftlichen Anforderungen zu stellen weiß. Die Thematisierung sozialer, ökonomischer, ökologischer und politischer Phänomene und Probleme der nachhaltigen Entwicklung leistet einen Beitrag, um wechselseitige Abhängigkeiten und Wertmaßstäbe für",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
9,3,0.9699991064044159,"aus den didaktischen Bereichen Auseinandersetzung mit Wirklichkeit und Wahrheitsansprüchen, Entwicklung ethischer Urteilsfähigkeit sowie Werteorientierung in lebensanschaulichen und religiösen Diskursen und lauten: - Fragen nach dem Ich, - Fragen nach der Zukunft, - Fragen nach Moral und Ethik, - Fragen nach der Wirklichkeit, - Fragen nach Orientierungsmöglichkeiten. Die inhaltsbezogenen Kompetenzbereiche sind im Unterrichtskontext systematisch und kumulativ zu festigen. Dies geschieht dadurch, dass",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
10,6,0.9709642425873974,die Schuljahrgänge und Leitthemen für die Schuljahrgänge und Fragen nach dem Ich Ich und meine Beziehungen Das Ich und seine sozialen Rollen Entwicklung und Gestaltung von Identität Fragen nach der Zukunft Glück und Lebensgestaltung Konstruktiver Umgang mit Krisen Verantwortung für Natur und Umwelt Fragen nach Moral und Ethik Regeln für das Zusammenleben Liebe und Sexualität Ethische Grundlagen für Konfliktlösungen Fragen nach,Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
11,5,0.9624987812027588,"differenzierten Einschätzung ihrer Wünsche, Hoffnungen und Ängste. Auf dieser Grundlage ist es ihnen möglich, ein positives Selbstwertgefühl zu entwickeln und ihre Persönlichkeit eigenverantwortlich und selbstbejahend zu entfalten. Fragen nach der Zukunft Die Schülerinnen und Schüler haben mit Blick auf ihre Zukunft verschiedene, zum Teil sich widersprechende Erwartungen. Diese beziehen sich nicht nur auf Zielvorstellungen für ein persönliches Lebensglück sowie eine gelungene",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
12,5,0.9624981950955992,"ist es ihnen möglich, ein positives Selbstwertgefühl zu entwickeln und ihre Persönlichkeit eigenverantwortlich und selbstbejahend zu entfalten. Fragen nach der Zukunft Die Schülerinnen und Schüler haben mit Blick auf ihre Zukunft verschiedene, zum Teil sich widersprechende Erwartungen. Diese beziehen sich nicht nur auf Zielvorstellungen für ein persönliches Lebensglück sowie eine gelungene individuelle Lebensgestaltung, sondern auch auf gesellschaftliche Pflichten innerhalb eines sozialen",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
13,10,0.9653837127789171,"Ziele und Bedürfnisse verbunden. Gelegentlich sorgen Misserfolg, Langeweile oder ein mangelndes Selbstkonzept gar dafür, dass sich die Schülerinnen und Schüler in Süchte und Abhängigkeiten flüchten. Der Kompetenzbereich Fragen nach der Zukunft sensibilisiert die Schülerinnen und Schüler für die Handlungsspielräume, Chancen, Risiken, Erfordernisse und Verpflichtungen, die für eine Gestaltung der Zukunft relevant sind. Die Schülerinnen und Schüler reflektieren ihre Hoffnungen und Befürchtungen",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
14,10,0.9678563714056941,"Schüler in Süchte und Abhängigkeiten flüchten. Der Kompetenzbereich Fragen nach der Zukunft sensibilisiert die Schülerinnen und Schüler für die Handlungsspielräume, Chancen, Risiken, Erfordernisse und Verpflichtungen, die für eine Gestaltung der Zukunft relevant sind. Die Schülerinnen und Schüler reflektieren ihre Hoffnungen und Befürchtungen angesichts kommender Lebensphasen, entwickeln eigene Zielvorstellungen für eine gelungene Gestaltung ihrer privaten wie beruflichen Zukunft und analysieren das Spannungsfeld",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
