topic_id,Bio,"Ethik, Philo",Geschichte,Psychologie,Sozialkunde,total
1,6,17,6,0,6,35
2,0,24,1,0,1,26
3,0,38,0,0,0,38
4,0,39,0,1,1,41
5,0,23,2,1,5,31
6,1,12,0,0,0,13
7,0,6,0,0,0,6
8,0,13,5,2,3,23
9,0,43,0,1,0,44
10,0,17,3,0,2,22
11,2,47,1,7,2,59
12,1,10,3,2,0,16
