term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
situation,109,0.0002,0.0003,0.0287,0.0314,0.0191,0.0003,0.0006,0.0003,0.0398,0.0186,0.0021,0.0003
mensch,102,0.0001,0.03,0.0474,0.0127,0.0001,0.0002,0.0159,0.0097,0.0001,0.0099,0.023,0.0269
bedürfnis,87,0.0677,0.0002,0.0001,0.0002,0.0001,0.0002,0.0006,0.0003,0.0001,0.0002,0.0257,0.0003
gedanke,78,0.0001,0.0003,0.0001,0.0001,0.0002,0.0055,0.0006,0.0179,0.0704,0.0002,0.0001,0.0003
perspektive,69,0.0001,0.0073,0.0002,0.0383,0.0214,0.0003,0.0006,0.0003,0.0001,0.0048,0.021,0.0007
vernunft,66,0.0084,0.0188,0.0395,0.0001,0.004,0.0054,0.0006,0.0003,0.0086,0.0076,0.0001,0.0003
sozial,64,0.0495,0.0059,0.0001,0.0042,0.0001,0.0055,0.0006,0.0003,0.0001,0.0002,0.011,0.0003
möglichkeit,61,0.0159,0.0048,0.0107,0.0081,0.0002,0.0054,0.0006,0.0003,0.0212,0.0002,0.0011,0.0218
leben,55,0.014,0.0399,0.0003,0.0001,0.0028,0.0007,0.0006,0.0003,0.0002,0.0002,0.0212,0.0004
verschieden,54,0.0001,0.0113,0.0048,0.0028,0.0108,0.0003,0.0006,0.0003,0.0152,0.0002,0.0164,0.0223
ethik,52,0.0001,0.037,0.0254,0.0001,0.0001,0.0002,0.0006,0.0003,0.0001,0.0141,0.005,0.0116
ethisch,50,0.0104,0.008,0.0017,0.0031,0.0191,0.0002,0.0006,0.0004,0.0002,0.0273,0.0069,0.0019
frage,50,0.0001,0.0036,0.0001,0.0036,0.0294,0.0002,0.0362,0.0228,0.0001,0.0002,0.0146,0.0003
umgang,49,0.0001,0.0059,0.0013,0.0152,0.0001,0.0003,0.0006,0.0003,0.0236,0.0002,0.0083,0.0068
handeln,47,0.0114,0.0097,0.0073,0.0001,0.0001,0.0187,0.0006,0.0003,0.0001,0.0045,0.0125,0.0115
inhaltsbezogen,46,0.0001,0.0075,0.0194,0.0086,0.0001,0.0002,0.0006,0.0007,0.0204,0.0002,0.0001,0.0003
methodischdidaktisch,44,0.0001,0.007,0.0194,0.0098,0.0001,0.0002,0.0006,0.0005,0.0177,0.0002,0.0001,0.0003
moralisch,43,0.0001,0.0002,0.0001,0.0001,0.0143,0.021,0.0006,0.0003,0.0001,0.0498,0.0055,0.0003
verändern,43,0.0001,0.0003,0.0001,0.0001,0.0002,0.0002,0.0006,0.0003,0.0432,0.0002,0.0001,0.0003
bedeutung,42,0.0001,0.0133,0.0142,0.0075,0.0002,0.0002,0.0006,0.014,0.0015,0.02,0.0038,0.0088
form,42,0.0001,0.0002,0.0085,0.0111,0.0031,0.0003,0.0147,0.0003,0.0235,0.0002,0.0001,0.0003
nehmen,42,0.0302,0.0068,0.0025,0.0001,0.0069,0.0003,0.0006,0.008,0.0001,0.0002,0.0032,0.0004
unterschiedlich,42,0.0158,0.0002,0.0037,0.003,0.0253,0.0211,0.0006,0.0003,0.0001,0.0002,0.002,0.0003
begriff,41,0.0002,0.0002,0.0022,0.0321,0.0094,0.0002,0.0006,0.0004,0.0108,0.0002,0.0001,0.0003
folge,41,0.0001,0.0158,0.0069,0.0028,0.0115,0.0003,0.0006,0.0003,0.0177,0.0002,0.0001,0.0097
individualität,41,0.0001,0.0124,0.0129,0.0002,0.0169,0.0002,0.0006,0.0003,0.0141,0.0004,0.0001,0.0004
bestimmt,40,0.0001,0.0002,0.0177,0.0057,0.0001,0.0038,0.0006,0.0104,0.0167,0.0002,0.0001,0.0003
wahrnehmung,40,0.0001,0.0002,0.0001,0.0059,0.0001,0.0054,0.0006,0.0009,0.0001,0.0002,0.0306,0.0003
darstellung,39,0.0001,0.0002,0.0004,0.0095,0.0045,0.0003,0.0119,0.0125,0.0168,0.0002,0.0031,0.0184
mindmap,38,0.0001,0.0003,0.0001,0.0145,0.0001,0.0003,0.0119,0.0003,0.0248,0.0002,0.0001,0.0003
brainstorming,37,0.0001,0.0025,0.0001,0.0145,0.0001,0.0002,0.0006,0.0003,0.0248,0.0002,0.0001,0.0003
entwickeln,37,0.0001,0.0002,0.0001,0.0028,0.0093,0.0206,0.0288,0.0054,0.0056,0.0002,0.0116,0.0057
wert,37,0.0004,0.0116,0.0066,0.0001,0.0001,0.0053,0.0006,0.0003,0.0001,0.0229,0.0152,0.0003
fähigkeit,36,0.0284,0.0002,0.0038,0.0001,0.0001,0.0002,0.0006,0.0003,0.0001,0.0183,0.001,0.0003
freundschaft,33,0.0001,0.0006,0.0002,0.0001,0.0001,0.0002,0.0006,0.0948,0.0001,0.0002,0.0004,0.0003
interesse,33,0.0301,0.0002,0.0001,0.0001,0.0028,0.0003,0.0006,0.0003,0.0001,0.0002,0.0023,0.0037
zusammenhang,32,0.0001,0.0112,0.0001,0.0001,0.0001,0.0005,0.0006,0.0003,0.0205,0.0002,0.0092,0.0004
handlung,31,0.0001,0.0003,0.0001,0.0069,0.0061,0.0003,0.0006,0.0225,0.0001,0.0281,0.0021,0.0038
klassenstuf,31,0.0108,0.0174,0.0001,0.0001,0.0202,0.0002,0.0006,0.0003,0.0001,0.0002,0.0001,0.0003
armut,30,0.0001,0.0045,0.0001,0.0211,0.0001,0.0002,0.0006,0.0003,0.0118,0.0002,0.0001,0.0003
welt,30,0.0001,0.0157,0.004,0.0185,0.0001,0.0055,0.0248,0.0003,0.0001,0.0002,0.0001,0.0003
differenzieren,29,0.0001,0.0002,0.0097,0.0004,0.0001,0.0002,0.0006,0.0052,0.0189,0.0002,0.0001,0.0003
problem,28,0.0001,0.0065,0.0002,0.004,0.0001,0.0003,0.0006,0.0361,0.0001,0.0096,0.0065,0.0003
relevant,28,0.0002,0.0002,0.0001,0.0078,0.032,0.0003,0.0006,0.0003,0.0001,0.0002,0.0019,0.0004
gesellschaftlich,27,0.0285,0.0047,0.0001,0.0001,0.0001,0.0002,0.0006,0.0003,0.0001,0.0002,0.0001,0.0003
kontrollieren,27,0.0001,0.0002,0.0064,0.0176,0.0001,0.0003,0.0006,0.0003,0.0076,0.0002,0.0001,0.0037
vorstellung,27,0.0001,0.0002,0.0015,0.0001,0.0001,0.0289,0.0006,0.0003,0.0001,0.0045,0.0147,0.0003
erfassen,26,0.0166,0.0002,0.0001,0.0008,0.0001,0.0002,0.0006,0.0003,0.0001,0.0002,0.0093,0.0003
kultur,26,0.0001,0.0002,0.0154,0.0001,0.0001,0.0002,0.0006,0.0003,0.0001,0.0002,0.0139,0.0005
wohlstand,26,0.0001,0.0045,0.0001,0.0159,0.0001,0.0002,0.0006,0.0003,0.0118,0.0002,0.0001,0.0003
auslösen,25,0.0001,0.0003,0.0001,0.0001,0.0039,0.0002,0.0006,0.0003,0.0229,0.0002,0.0016,0.0005
erleben,25,0.0001,0.0002,0.0027,0.0001,0.0001,0.0002,0.0006,0.014,0.0138,0.0101,0.0013,0.0003
regel,25,0.0001,0.009,0.0001,0.0001,0.0001,0.0002,0.0006,0.0003,0.0001,0.0002,0.0181,0.0003
emotion,24,0.0142,0.0002,0.0001,0.0072,0.0001,0.0002,0.0006,0.0003,0.0001,0.006,0.0014,0.0128
gewissen,24,0.0086,0.0143,0.0001,0.0059,0.0001,0.009,0.0006,0.0003,0.0001,0.0007,0.0001,0.0003
verantwortung,24,0.0001,0.0004,0.0014,0.0001,0.0001,0.0529,0.0006,0.0003,0.0001,0.0062,0.0001,0.0003
vorurteil,24,0.0001,0.0002,0.0001,0.0305,0.0001,0.0003,0.0006,0.0003,0.0001,0.0002,0.0018,0.0003
hilfe,23,0.0001,0.0033,0.0001,0.0221,0.0001,0.0028,0.0006,0.0055,0.0025,0.0002,0.0001,0.0017
person,23,0.0004,0.0002,0.0001,0.0001,0.0268,0.0002,0.0006,0.0003,0.0033,0.0085,0.0018,0.0003
persönlich,23,0.0037,0.0239,0.0001,0.0001,0.0001,0.0161,0.0006,0.0105,0.0001,0.0003,0.0001,0.0003
tier,23,0.0001,0.0002,0.0027,0.0001,0.0001,0.0002,0.0006,0.0003,0.0001,0.0002,0.0197,0.0003
dauer,22,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0006,0.0003,0.0179,0.0059,0.0025,0.0003
gruppe,22,0.0002,0.0089,0.0001,0.0028,0.0135,0.0002,0.0006,0.0016,0.0001,0.0003,0.0072,0.0003
emotional,21,0.0001,0.0002,0.0001,0.0153,0.0035,0.0002,0.0006,0.0003,0.0001,0.0022,0.0073,0.0003
individuell,21,0.0001,0.0025,0.0065,0.0001,0.0002,0.0003,0.029,0.0003,0.0001,0.0002,0.0099,0.0037
wahrnehmen,21,0.0001,0.0002,0.0001,0.0001,0.0163,0.0054,0.0303,0.0003,0.0001,0.0101,0.0001,0.0003
betrachten,20,0.0001,0.0003,0.0001,0.0022,0.0001,0.0002,0.0006,0.0003,0.0188,0.0002,0.0001,0.0003
familie,20,0.0001,0.0066,0.0001,0.0001,0.0001,0.0002,0.0006,0.0003,0.0001,0.0029,0.0147,0.0003
formulier,20,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0006,0.0003,0.0199,0.0002,0.0001,0.0003
insbesondere,20,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0006,0.0176,0.0001,0.006,0.014,0.0003
konflikt,20,0.0001,0.0002,0.0001,0.0001,0.0001,0.0002,0.0006,0.0097,0.0001,0.0002,0.0161,0.0003
liebe,20,0.0001,0.0002,0.0001,0.0112,0.0001,0.0002,0.0006,0.0395,0.0001,0.0002,0.0001,0.004
religion,20,0.0001,0.0003,0.0001,0.0001,0.0068,0.0002,0.0006,0.0003,0.0001,0.0024,0.0128,0.0003
stellen,20,0.0001,0.0002,0.0001,0.0001,0.0305,0.0002,0.0006,0.0004,0.0001,0.0002,0.0001,0.0003
